arandu_id,facility_name,department,locality,address,price_status,price_status_label,price_kind,modalities,original_currency,original_price_min,original_price_max,exchange_rate_to_uyu,conversion_date,normalization_method,normalized_price_min_uyu,normalized_price_max_uyu,display_price_uyu,source_date_text,source_year_latest,source_label,source_url,price_confidence,price_confidence_label,match_confidence,include_in_main_price_filter,display_mode,review_status,record_ids,notes,warning
FAC-LEGACY-ELP-0606-F6306003DF5F90F8,Humana Residencial,Montevideo,Montevideo,Bv. España 2128,historical,Referencia histórica,exact,Habitación individual,UYU,125000.0,125000.0,1.0,,original_uyu,125000,125000,$125.000,2019 aprox.,2019,InfoNegocios,https://infonegocios.biz/un-dia-en/humana-con-su-directora-maria-methol,medium,media,high,False,historical_reference,pending,BASE-017,La fecha exacta no quedó visible en el resultado consultado.,Referencia histórica expresada en pesos uruguayos para facilitar la lectura. No es una tarifa vigente y no fue actualizada por IPC.
FAC-LEGACY-MSP24-111-D0D05002AAEC40A3,La Maison Senior Apartments,Montevideo,Montevideo,26 de Marzo 3322,historical,Referencia histórica,up_to,Según necesidades,USD,,5000.0,40.214,2026-07-28,usd_x_bcu_2026-07-28,,201070,Hasta aprox. $201.070,2016-09-11,2016,El País,https://www.elpais.com.uy/negocios/finanzas/hoteles-para-jubilados-otra-opcion-al-manejar-el-retiro,high,alta,high,False,historical_reference,pending,NEW-003,Fuente primaria; no convertir automáticamente a pesos uruguayos.,Referencia histórica expresada en pesos uruguayos para facilitar la lectura. No es una tarifa vigente y no fue actualizada por IPC.
FAC-LEGACY-ELP-0479-2A28F8D0ADC27059,LAR - Centro,Montevideo,Montevideo,Juan M. Espinosa 1480,historical,Referencia histórica,from,Desde,UYU,120000.0,,1.0,,original_uyu,120000,,Desde $120.000,2019-07-21,2019,El Observador,https://www.elobservador.com.uy/nota/residenciales-un-negocio-que-crece-con-tarifas-de-35-000-a-120-000-al-mes-201972132159,high,alta,medium,False,historical_reference,pending,BASE-023,La nota menciona LAR en Buceo; conciliación prudente.,Referencia histórica expresada en pesos uruguayos para facilitar la lectura. No es una tarifa vigente y no fue actualizada por IPC.
FAC-LEGACY-MSP24-072-811E25FC964E9DA9,Los Alpes,Montevideo,Montevideo,Fernández Crespo 1776,historical,Referencia histórica,exact,Habitación compartida,UYU,40000.0,40000.0,1.0,,original_uyu,40000,40000,$40.000,2019-07-21,2019,El Observador,https://www.elobservador.com.uy/nota/residenciales-un-negocio-que-crece-con-tarifas-de-35-000-a-120-000-al-mes-201972132159,high,alta,high,False,historical_reference,pending,BASE-024,Referencia de 2019.,Referencia histórica expresada en pesos uruguayos para facilitar la lectura. No es una tarifa vigente y no fue actualizada por IPC.
FAC-LEGACY-MSP24-011-690FB5E8DE8BD869,Manas Home / MH Residencial,Montevideo,Montevideo,Millington Drake 1993,current_undated,Precio público sin fecha,from,Desde; habitaciones individuales y compartidas,UYU,65000.0,,1.0,,original_uyu,65000,,Desde $65.000,Sin fecha visible,,Red de Residenciales,https://www.redresidenciales.uy/residencial_hotel/carrasco/residencial-manas-casa-asistida/,medium,media,high,True,public_price_confirm,pending,BASE-009,La ficha pública usa el nombre MH Residencial.,Precio público sin fecha visible. Puede estar desactualizado; confirmar antes de usar.
FAC-LEGACY-ELP-0350-1A44EC6E54F3F2D9,Moirú,Montevideo,Montevideo,Juan Carlos Blanco 3362,historical,Referencia histórica,range,Según modalidad y necesidades,UYU,45000.0,75000.0,1.0,,original_uyu,45000,75000,$45.000–$75.000,2021-12-24,2021,InfoNegocios,https://infonegocios.biz/nota-principal/moiru-quiere-romper-el-paradigma-va-por-mas-locales,high,alta,high,False,historical_reference,pending,BASE-016,Referencia de 2021.,Referencia histórica expresada en pesos uruguayos para facilitar la lectura. No es una tarifa vigente y no fue actualizada por IPC.
FAC-LEGACY-MSP24-044-83322A666C272E22,Red Bienestar,Montevideo,Montevideo,Av. Rivera 4589,historical,Referencia histórica,from,Mínimo; según habitación,UYU,38000.0,,1.0,,original_uyu,38000,,Desde $38.000,2019-07-21,2019,El Observador,https://www.elobservador.com.uy/nota/residenciales-un-negocio-que-crece-con-tarifas-de-35-000-a-120-000-al-mes-201972132159,high,alta,high,False,historical_reference,pending,BASE-022,Referencia de 2019.,Referencia histórica expresada en pesos uruguayos para facilitar la lectura. No es una tarifa vigente y no fue actualizada por IPC.
FAC-CANDIDATE-141,Residencial Pontevedra,Montevideo,Montevideo,Blandengues 1915,current_undated,Precio público sin fecha,exact,Modalidad no precisada,UYU_INFERRED,29000.0,29000.0,1.0,,original_uyu_inferred,29000,29000,$29.000,Sin fecha visible,,Red de Residenciales,https://www.redresidenciales.uy/residencial-hotel/montevideo/reducto/residencial-pontevedra/,low,baja,high,True,public_price_confirm,pending,BASE-011,La página omite símbolo y moneda; el valor parece histórico.,Precio público sin fecha visible. Puede estar desactualizado; confirmar antes de usar.
FAC-LEGACY-MSP24-128-0077C3F2BA4412D2,Saniguet,Montevideo,Montevideo,Av. Millán 3260,current_dated,Precio público fechado,range,Habitación cuádruple,UYU,60000.0,80000.0,1.0,,original_uyu,60000,80000,$60.000–$80.000,2025-06-12,2025,Vitalence,https://app.vitalencecare.com/VitalenceJavaEnvironment/servlet/com.vitalence.buscarcuartos,high,alta,high,True,public_price,pending,BASE-003,La disponibilidad puede haber cambiado.,"Precio público orientativo. Puede variar según habitación, autonomía, dependencia, servicios, insumos y disponibilidad. Confirmar con el establecimiento."
FAC-LEGACY-MSP24-041-25544A83B648E4BA,Santa Bernardita,Montevideo,Montevideo,19 de Abril 1140,current_undated,Precio público sin fecha,from,Desde; habitación privada con baño compartido,UYU,55000.0,,1.0,,original_uyu,55000,,Desde $55.000,Sin fecha visible,,Red de Residenciales,https://www.redresidenciales.uy/residencial_hotel/montevideo/prado/prado/santa-bernardita-0/,medium,media,high,True,public_price_confirm,pending,BASE-007,El directorio no muestra fecha de actualización.,Precio público sin fecha visible. Puede estar desactualizado; confirmar antes de usar.
FAC-CANDIDATE-171,Álamos Montevideo,Montevideo,Montevideo,Ibiray 2398,historical,Referencia histórica,from,Desde,UYU,95000.0,,1.0,,original_uyu,95000,,Desde $95.000,2020-05-20,2020,InfoNegocios,https://infonegocios.biz/enfoque/llega-el-nuevo-residencial-alamos-un-centro-de-primer-nivel-para-adultos-mayores,high,alta,high,False,historical_reference,pending,BASE-015,Referencia de lanzamiento de 2020.,Referencia histórica expresada en pesos uruguayos para facilitar la lectura. No es una tarifa vigente y no fue actualizada por IPC.
