"department","source_file","action_id","category_group_code","category_group","type","confidence","records","evidence","recommended_action","source_1","source_2","apply_now","requires_human_review"
"Colonia","arandu_colonia_correcciones_existentes.json","COR-003","SIN_CLASIFICAR","Pendiente de clasificación humana","Localidad/dirección/geocódigo","Alta","FAC-LEGACY-ELP-0107-960314EEC9498811 | Bellagio","MIDES 2020 y directorio actual lo ubican en Públicas 576 esq. Real de San Carlos, Colonia del Sacramento; Arandú lo ubica en Juan Lacaze.","Preparar corrección de localidad, dirección y coordenadas a partir de fuentes públicas; conservar valores anteriores para auditoría.","https://1122.com.uy/rubro-zona/colonia/geriatrico/PRD10112101/Z05","","False","True"
"Colonia","arandu_colonia_correcciones_existentes.json","COR-004","SIN_CLASIFICAR","Pendiente de clasificación humana","Localidad/dirección/geocódigo","Alta","FAC-LEGACY-MSP24-179-66D4323AD735D24C | Asociación Civil Pro Bienesttar Social De La Tercera Edad","La dirección y las listas oficiales indican Colonia Miguelete, pero la localidad está cargada como Carmelo.","Preparar corrección de localidad, dirección y coordenadas a partir de fuentes públicas; conservar valores anteriores para auditoría.","https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf","","False","True"
"Colonia","arandu_colonia_correcciones_existentes.json","COR-005","SIN_CLASIFICAR","Pendiente de clasificación humana","Localidad/dirección/geocódigo","Alta","FAC-LEGACY-MSP24-175-C2CF644275FD0B9B | Hogar De Ancianos De Juan Lacaze","El MSP 2026 indica Juan Lacaze, Ruta 54 km 2; Arandú usa Colonia Rural y una coordenada incompatible.","Preparar corrección de localidad, dirección y coordenadas a partir de fuentes públicas; conservar valores anteriores para auditoría.","https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf","","False","True"
"Colonia","arandu_colonia_correcciones_existentes.json","COR-006","SIN_CLASIFICAR","Pendiente de clasificación humana","Localidad/dirección/geocódigo","Alta","FAC-LEGACY-ELP-0113-18EC9DD2C8914DEF | Hogar de Ancianos Cardona, Florencio Sánchez y zonas vecinas","La dirección corresponde al área Florencio Sánchez/Cardona; la localidad genérica Colonia Rural dificulta búsquedas.","Preparar corrección de localidad, dirección y coordenadas a partir de fuentes públicas; conservar valores anteriores para auditoría.","https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf","","False","True"
"Colonia","arandu_colonia_correcciones_existentes.json","COR-007","SIN_CLASIFICAR","Pendiente de clasificación humana","Localidad/dirección/geocódigo","Alta","FAC-LEGACY-ELP-0108-6F0DFDEE8432E5AC | Brisas Del Plata","MIDES 2026 confirma Valdense, Ruta 1 km 121,500; la coordenada actual está en otra zona.","Preparar corrección de localidad, dirección y coordenadas a partir de fuentes públicas; conservar valores anteriores para auditoría.","https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/colonia-establecimientos-larga-estadia-para-personas-mayores-certificado-social","","False","True"
"Colonia","arandu_colonia_correcciones_existentes.json","COR-008","SIN_CLASIFICAR","Pendiente de clasificación humana","Localidad/dirección/geocódigo","Media-alta","FAC-LEGACY-MSPREG24-016-D538DF4A5D2798AF | Hogar de Ana","La dirección histórica es Ruta 1 km 122,500, Colonia Valdense; la coordenada actual no coincide.","Preparar corrección de localidad, dirección y coordenadas a partir de fuentes públicas; conservar valores anteriores para auditoría.","https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf","","False","True"
"Colonia","arandu_colonia_correcciones_existentes.json","COR-009","SIN_CLASIFICAR","Pendiente de clasificación humana","Localidad/dirección/geocódigo","Alta","FAC-LEGACY-ELP-0135-7CECD751BA8A7CAF | Mi Hogarcito","MIDES 2026 confirma Valdense, 25 de Agosto 809; la coordenada actual está en otra localidad.","Preparar corrección de localidad, dirección y coordenadas a partir de fuentes públicas; conservar valores anteriores para auditoría.","https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/colonia-establecimientos-larga-estadia-para-personas-mayores-certificado-social","","False","True"
"Colonia","arandu_colonia_correcciones_existentes.json","COR-010","SIN_CLASIFICAR","Pendiente de clasificación humana","Dirección/nomenclátor por revisar","Media-alta","FAC-LEGACY-ELP-0123-7F6E12B8045067A6 | Hogar Tarariras","Arandú registra Cincuentenario 1566, mientras la fuente pública departamental vigente publica Av. Ernesto Mc. Alister 1566.","Comparar nomenclátor, padrón y fuentes públicas; preparar una corrección reversible solo si ambas direcciones corresponden a la misma sede.","https://www.gub.uy/ministerio-desarrollo-social/tramites-y-servicios/contenido/colonia","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CDC-COR-001","ID","Identidad, duplicado, sede o continuidad","Identidades y sedes invertidas","Alta","FAC-CANDIDATE-64 Kairo's 1; FAC-CANDIDATE-65 Kairo's 2","Fuentes públicas específicas atribuyen Kairo's 1 a Cruz del Sur M314 S6 y Kairo's 2 a Marques Castro M15 S26; Arandú los tiene al revés. La sede de Cruz del Sur figura cerrada desde 2023 en otro directorio.","No publicar ni corregir automáticamente. Revisar nombres, direcciones y estado operativo; preservar historial de ambas sedes.","https://inforesidenciales.com.uy/kairos1/ | https://inforesidenciales.com.uy/kairos2/ | https://uy.todosnegocios.com/residencial-kairos","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CDC-COR-002","ID","Identidad, duplicado, sede o continuidad","Candidato corresponde a ficha existente","Alta","FAC-CANDIDATE-97 El Hogar II; FAC-LEGACY-ELP-0016 El Hogar","La fuente pública actual presenta El Hogar en Achiras M24 S20; la ficha existente usa S23 y la cola llama a S20 'El Hogar II'.","Vincular como una sola identidad después de revisar S20/S23; enriquecer teléfonos y sitio. No crear un segundo punto.","https://inforesidenciales.com.uy/el-hogar/","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CDC-COR-003","GEO","Dirección, localidad o geocódigo","Conflicto de calle en ficha geolocalizada","Alta","FAC-CANDIDATE-71 Vila de Rosa","Arandú carga Ema Capurro M17 S7; el sitio propio actual publica Carabelas M17 S7.","Validar la calle y geocódigo antes de cambiar la ficha; conservar ambos valores en auditoría.","https://www.viladerosa.com/","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CDC-COR-004","GEO","Dirección, localidad o geocódigo","Localidad y dirección faltante","Alta","FAC-CANDIDATE-27 residencial shangrila","La fila OSM está en Lagomar y sin dirección; la revisión exacta ubica el establecimiento en Shangrilá, Paraguay M13 S20 esq. Sáenz Peña.","Enriquecer la ficha existente y validar coordenadas; no crear una nueva.","https://1122.com.uy/rubro-zona/lomas-de-solymar/residenciales/PRD1000233/Z03953","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CDC-COR-005","ID","Identidad, duplicado, sede o continuidad","Duplicado y conflicto de sede","Alta","FAC-LEGACY-MSP24-166 La Bonne Vie; FAC-OFFICIAL-ELP-0044 La Bonne Vie; FAC-CANDIDATE-102; La Alegría de Vivir — Mar de Ajó M15 S2","Arandú duplica La Bonne Vie en Río Negro M216 S15 y una fuente comercial vigente publica Mar de Ajó M15 S2. El directorio local también publica La Alegría de Vivir en Mar de Ajó M15 S2, posible alias o rebranding.","Resolver cronología, localidad, operador, alias y posible traslado/segunda sede; fusionar únicamente duplicados demostrados.","https://1122.com.uy/local/residencial-la-bonne-vie/LOC518040001","https://www.ciudaddelacosta.com.uy/modules/directorio/lstDirectorio.php?id=110&listar=por_categoria","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CDC-COR-006","GEO","Dirección, localidad o geocódigo","Duplicado probable y colisión de coordenadas","Alta","FAC-LEGACY-ELP-0064 Pinares; FAC-LEGACY-ELP-0065 PINARES; FAC-LEGACY-ELP-0054 La Tacuara","Las dos filas Pinares parecen duplicadas; ambas y La Tacuara comparten exactamente las mismas coordenadas pese a direcciones diferentes.","Fusionar Pinares solo tras revisar direcciones; geocodificar por separado Pinares y La Tacuara.","Consulta de solo lectura a public.elepem","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CDC-COR-007","GEO","Dirección, localidad o geocódigo","Duplicado probable y geocódigo conflictivo","Alta","FAC-LEGACY-ELP-0011 Centro Vital; FAC-LEGACY-ELP-0012 CENTRO VITAL; FAC-LEGACY-ELP-0041 Jacarandá","Centro Vital aparece dos veces; una de esas filas comparte coordenadas exactas con Jacarandá, aunque las direcciones difieren.","Resolver el duplicado de Centro Vital y geocodificar Centro Vital/Jacarandá por dirección, no por el punto heredado.","Consulta de solo lectura a public.elepem","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CDC-COR-008","ID","Identidad, duplicado, sede o continuidad","Duplicado probable","Media-alta","FAC-LEGACY-ELP-0020 El Renacer; FAC-LEGACY-ELP-0021 EL RENACER","Mismo nombre, manzana y solar 7, con variantes Gestido/Canelones y Pinos; coordenadas cercanas.","Comparar teléfono, calle y fuentes; fusionar únicamente si se confirma la misma sede.","Consulta de solo lectura a public.elepem","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CDC-COR-009","ID","Identidad, duplicado, sede o continuidad","Duplicado confirmado por nombre y dirección","Alta","FAC-LEGACY-MSP24-170 La Rochelle; FAC-OFFICIAL-ELP-0052 La Rochelle","Mismo nombre y dirección M33 S16, con pequeñas diferencias ortográficas y coordenadas distintas.","Conservar la fila con Certificado Social actual, trasladar fuentes/teléfono y archivar la secundaria como fusionada.","Consulta de solo lectura a public.elepem","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CDC-COR-010","ID","Identidad, duplicado, sede o continuidad","Posible alias o duplicado por dirección exacta","Media-alta","FAC-LEGACY-ELP-0008 Bonsejour La Costa; FAC-LEGACY-ELP-0013 Dra Teresita","Misma dirección Viña del Mar M16 S27 y coordenadas exactas.","Resolver si Dra Teresita es operador, nombre anterior o establecimiento distinto; no mantener dos sedes sin evidencia.","Consulta de solo lectura a public.elepem","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CDC-COR-011","GEO","Dirección, localidad o geocódigo","Duplicado y localidad incorrecta","Alta","FAC-LEGACY-MSP24-167 Seniority Magna; FAC-OFFICIAL-ELP-0093 Seniority Magna","Misma dirección Niterói 948; una fila figura en Barros Blancos con geocódigo incompatible y otra en Barra de Carrasco.","Conservar la identidad oficial, corregir localidad/geocódigo y fusionar la segunda fila preservando fuentes.","Consulta de solo lectura a public.elepem","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CDC-COR-012","GEO","Dirección, localidad o geocódigo","Conflicto interno de solar","Alta","FAC-CANDIDATE-68 Arenas","El sitio propio publica solar 14 en la sección de mapa y solar 15 en el pie de página.","Mantener M55 esquina Santa Bernardita sin elegir solar hasta resolver con otra fuente pública o IDE.","https://arenas.uy/","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CO-COR-001","ENR","Enriquecer ficha existente","Enriquecer ficha geolocalizada","Alta","FAC-CANDIDATE-84 Eublana Residencial","La ficha pública actual aporta teléfono 095 775 749 y confirma Joaquín Suárez entre calles 8 y 19.","Añadir teléfono y fuente; validar que las coordenadas IDE correspondan a la dirección. No crear otra ficha.","https://1122.com.uy/local/eublana-residencial/LOC620850001","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CO-COR-002","ID","Identidad, duplicado, sede o continuidad","Relación de traslado u operador","Alta","Phoenix Parque del Plata; Los Años Dorados Soca/La Floresta","Phoenix declara haber comenzado en Soca y trasladarse a Parque del Plata; comparte 098 774 852 con Los Años Dorados.","Documentar la cronología y el operador antes de crear, fusionar o archivar sedes.","https://residencialphoenix.uy/nosotros | https://1122.com.uy/local/los-anos-dorados/LOC431880001","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CO-COR-003","ID","Identidad, duplicado, sede o continuidad","Posible rebranding o duplicado de sitio","Alta","FAC-LEGACY-ELP-0063 Nuevo Amanecer; Los Años Dorados La Floresta","Ambos se ubican en Argentina esquina Las Flores; la ficha de Arandú usa M6 S7.","Resolver nombre actual, historial y operador; no mantener dos puntos en la misma sede sin evidencia.","https://1122.com.uy/local/los-anos-dorados/LOC431880002 | consulta de solo lectura a public.elepem","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CO-COR-004","ID","Identidad, duplicado, sede o continuidad","Homónimo o traslado por resolver","Alta","Hogar Mi Sueño Pinamar; FAC-LEGACY-ELP-0060 Mi Sueño Barra de Carrasco; referencia histórica Neptunia","Existen al menos tres ubicaciones asociadas al nombre Mi Sueño en Canelones.","Comparar teléfonos, operadores y cronología; no fusionar por nombre.","https://laguiadigital.uy/hogar-mi-sueno/ | consulta de solo lectura a public.elepem","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CO-COR-005","ID","Identidad, duplicado, sede o continuidad","Identidad y sedes históricas por resolver","Media-alta","Residencia Salinas; SALINAS; SALINAS II; Residencial de Ancianos Salinas","Fuentes actuales e históricas describen varias sedes sobre Zorrilla de San Martín y Ruta Interbalnearia/Abaroré, con teléfonos discordantes.","Mantener las sedes separadas hasta reconstruir solar, operador y vigencia; no crear ni fusionar automáticamente.","https://laguiauruguay.com.uy/empresas/residencial-salinas/ | https://1122.com.uy/rubro-zona/salinas/residenciales/PRD1000233/Z03131","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CO-COR-006","GEO","Dirección, localidad o geocódigo","Duplicado probable con geocódigos erróneos","Alta","FAC-LEGACY-ELP-0079 y FAC-LEGACY-ELP-0080 Residencial Las Tres Marías","Mismo nombre y localidad con dos direcciones; una coordenada cae fuera de Atlántida y la otra carece de dirección precisa.","Comparar fuentes, resolver si son una o dos sedes y geocodificar por dirección antes de fusionar.","Consulta de solo lectura a public.elepem","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CO-COR-007","GEO","Dirección, localidad o geocódigo","Localidad/geocódigo incorrecto y estado operativo por revisar","Alta","FAC-LEGACY-MSPREG24-014 Hogar Huellas","Arandú lo ubica en Ciudad de la Costa; fuentes oficiales sitúan el hogar en Ñandú esquina Sombra del Toro, Salinas. El establecimiento sufrió un incendio fatal en julio de 2024 y no aparece en las listas actuales.","No mostrarlo como oferta activa. Corregir localidad y conservar el incidente; confirmar cierre o continuidad mediante fuente pública antes de definir estado final.","https://www.gub.uy/ministerio-interior/comunicacion/noticias/incendio-residencial-hogar-huellas","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","CO-COR-008","GEO","Dirección, localidad o geocódigo","Localidad y geocódigo incorrectos","Alta","FAC-LEGACY-MSPREG24-012 Solana","La dirección Calle 19 M354 S20 corresponde a Parque del Plata, pero Arandú la clasifica como Ciudad de la Costa y usa coordenadas incompatibles.","Corregir localidad y geocodificar por dirección; conservar fuente histórica y revisar actividad actual.","https://1122.com.uy/rubro-zona/parque-del-plata/asistencia-hogar/PRD10107692/Z03101 | consulta de solo lectura a public.elepem","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","NORTE-COR-001","ID","Identidad, duplicado, sede o continuidad","Duplicado o alias por dirección exacta","Alta","FAC-CANDIDATE-93 Residencial Santa María; FAC-LEGACY-ELP-0096 Solange Alejandra Amaya","Ambas filas usan Bella Vista 2057. La nómina de 2019 vincula Santa María con ese domicilio, pero los geocódigos de Arandú están separados unos 2,3 km.","Resolver titular/nombre comercial, conservar una sola sede y geocodificar por dirección; no mantener dos puntos.","https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2019-06/respuesta-a-pedido-de-informacion%5B1%5D_3.pdf","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","NORTE-COR-002","GEO","Dirección, localidad o geocódigo","Homónimos en localidades distintas","Alta","FAC-CANDIDATE-95 San Cono Tala; FAC-LEGACY-ELP-0091 SAN CONO San Ramón","Existe una ficha pública actual en Tala y una identidad distinta en San Ramón. No deben fusionarse por nombre.","Mantener dos identidades separadas; geocodificar Tala con su dirección actual y revisar por separado la vigencia de San Ramón.","https://1122.com.uy/local/san-cono/LOC465370001","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","NORTE-COR-003","ID","Identidad, duplicado, sede o continuidad","Posible cambio de nombre o reutilización de sede","Media-alta","Residencial Vida Nueva; La Tercera Edad histórica","Vida Nueva está en 25 de Agosto y Villegas; La Tercera Edad figuraba en 25 de Agosto s/n en 2019.","Reconstruir cronología y operador; no crear dos puntos cercanos sin comprobar que sean sedes distintas.","https://1122.com.uy/local/residencial-vida-nueva/LOC461680001","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","NORTE-COR-004","ID","Identidad, duplicado, sede o continuidad","Reactivación histórica pendiente de confirmar","Media","FAC-CANDIDATE-92 Hogar del Carmen","La identidad y dirección constan en 2019; el lote anterior registró señales de reapertura en 2025, pero el enlace exacto no fue recuperado.","No crear una identidad nueva. Buscar una fuente pública exacta y vincularla al registro histórico.","https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2019-06/respuesta-a-pedido-de-informacion%5B1%5D_3.pdf","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","NORTE-COR-005","ID","Identidad, duplicado, sede o continuidad","Identidad histórica con nombre comercial actual","Alta","Hogar San Bautista / Residencial San Bautista","La dirección Herrera s/n coincide entre la nómina histórica y la ficha comercial actual.","Mantener una sola identidad con ambos nombres como alias y geocodificar la sede después de revisión.","https://1122.com.uy/local/residencial-san-bautista/LOC460370001","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","PANDO-COR-001","GEO","Dirección, localidad o geocódigo","Conflicto de dirección/geocódigo","Alta","FAC-CANDIDATE-52 Residencial La Rosada","InfoResidenciales publica Camino Tomás Berreta km 30.200; 1122 y la ficha actual usan km 30.500.","No mover el punto automáticamente. Validar el kilómetro mediante IDE, mapa u otra fuente pública y conservar ambas referencias hasta resolver.","https://inforesidenciales.com.uy/la-rosada/ | https://1122.com.uy/local/residencial-la-rosada/LOC733780003","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","PANDO-COR-002","ID","Identidad, duplicado, sede o continuidad","Sedes múltiples con teléfono compartido","Alta","FAC-CANDIDATE-53 Lo de Mamá 1; FAC-CANDIDATE-54 Lo de Mamá 2","Ambas fichas comparten 092 191 419, pero las fuentes públicas documentan dos domicilios: Continuación 18 de Julio 1416 y Piovene 1158.","Mantener dos sedes físicas vinculadas por operador. No deduplicar por teléfono y no crear una tercera identidad.","https://1122.com.uy/local/residencial-lo-de-mama/LOC823620001 | https://1122.com.uy/local/residencial-lo-de-mama-2/LOC845090001","","False","True"
"Canelones","arandu_canelones_correcciones_consolidadas_67.json","PANDO-COR-003","ID","Identidad, duplicado, sede o continuidad","Traslado histórico","Alta","FAC-CANDIDATE-96 Residencial Abu","La ficha pública actual usa Artigas 893; la nómina de 2019 registraba ABU en Piovene 1339.","Conservar Artigas 893 como sede actual candidata y Piovene 1339 como dirección histórica; no crear dos identidades.","https://1122.com.uy/local/residencial-abu/LOC533800001 | https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2019-06/respuesta-a-pedido-de-informacion%5B1%5D_3.pdf","","False","True"
