candidate_key,department,locality,zone,name,alternative_names,address,address_precision,latitude,longitude,phone,website,classification_code,classification,evidence_tier,confidence,operational_status,administrative_status,review_status,source_1,source_2,source_3,source_4,relationship_or_risk,integration_blocker,recommended_action,source_file,record_origin,public_eligible,ready_for_direct_integration,apply_now,contact_attempted
colonia:florencio-sanchez:residencial-serena,Colonia,Florencio Sánchez,Florencio Sánchez,Residencial Serena,,"18 de Julio s/n, entre J. P. Varela y 19 de Abril",Histórica documentada | Baja-media,,,,,H1,Histórico con dirección probable/documentada,A_historical,Baja-media,unknown,not_confirmed,pending_current_signal,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,,,Sin coincidencia exacta documentada en Arandú | La frontera departamental y la denominación Cardona/Florencio Sánchez pueden afectar las búsquedas.,"La dirección histórica es razonable, pero no se confirmó funcionamiento actual.","Buscar por la dirección histórica en mapas, directorios, prensa y redes públicas; confirmar nombre actual y continuidad; geocodificar solo con respaldo suficiente.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:nueva-helvecia:ana-robaina,Colonia,Nueva Helvecia,Nueva Helvecia,Ana Robaina,,Zorrilla de San Martín 1013,Histórica documentada | Baja-media,,,,,H1,Histórico con dirección probable/documentada,A_historical,Baja-media,unknown,not_confirmed,pending_current_signal,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,,,Sin coincidencia exacta documentada en Arandú | El nombre personal puede no coincidir con el nombre comercial actual.,"La dirección histórica es razonable, pero no se confirmó funcionamiento actual.","Buscar por la dirección histórica en mapas, directorios, prensa y redes públicas; confirmar nombre actual y continuidad; geocodificar solo con respaldo suficiente.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:rosario:hogar-griselda,Colonia,Rosario,Rosario,Hogar Griselda,,"Garat 266, entre 18 de Julio y 19 de Abril",Histórica documentada | Baja-media,,,,,H1,Histórico con dirección probable/documentada,A_historical,Baja-media,unknown,not_confirmed,pending_current_signal,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,,,Sin coincidencia exacta documentada en Arandú | La cantidad de residentes difiere entre las fuentes históricas; no usarla como dato actual.,"La dirección histórica es razonable, pero no se confirmó funcionamiento actual.","Buscar por la dirección histórica en mapas, directorios, prensa y redes públicas; confirmar nombre actual y continuidad; geocodificar solo con respaldo suficiente.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:rosario:milda,Colonia,Rosario,Rosario,Milda,,"Rincón 354, entre Gral. Flores y 25 de Agosto",Histórica documentada | Baja-media,,,,,H1,Histórico con dirección probable/documentada,A_historical,Baja-media,unknown,not_confirmed,pending_current_signal,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,,,Sin coincidencia exacta documentada en Arandú | La fuente 2020 no informa residentes para esta fila.,"La dirección histórica es razonable, pero no se confirmó funcionamiento actual.","Buscar por la dirección histórica en mapas, directorios, prensa y redes públicas; confirmar nombre actual y continuidad; geocodificar solo con respaldo suficiente.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:carmelo:la-carmela,Colonia,Carmelo,Carmelo,La Carmela,La Carmela / La Armonia / Carmen 348,Carmen 348,Posible alias de ficha existente | Media-alta,,,,,I1,"Identidad, alias o ubicación por resolver",A_historical_conflict,Media-alta,unknown_identity_conflict,not_confirmed,identity_alias_review,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,,,"Posible alias de La Armonia en Carmen 348 | La coincidencia exacta de dirección es fuerte, pero no demuestra por sí sola continuidad jurídica u operativa.","La identidad, el alias, el traslado o la ubicación no están resueltos.","No crear, fusionar ni publicar. Reconstruir identidad, alias, traslado o continuidad mediante cronología y fuentes públicas nominales.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:carmelo:hogar-wato,Colonia,Carmelo,Carmelo,Hogar Wato,,,No resuelta,,,,,H4,Histórico sin dirección resuelta,A_historical,Baja,unknown,not_confirmed,pending,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,,,,Sin coincidencia nominal en las fichas de Colonia consultadas en Arandú. | No asignar por descarte una dirección histórica: quedan cinco nombres sin dirección frente a cuatro domicilios sin nombre.,No hay dirección suficientemente resuelta ni señal actual.,"Mantener sin coordenadas. Buscar dirección, teléfono público, publicación local o mapa que permita individualizar el establecimiento.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:carmelo:richard,Colonia,Carmelo,Carmelo,Richard,,,No resuelta,,,,,H4,Histórico sin dirección resuelta,A_historical,Baja,unknown,not_confirmed,pending,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,,,,Sin coincidencia nominal en las fichas de Colonia consultadas en Arandú. | Alto riesgo de falsos positivos por tratarse de un nombre común.,No hay dirección suficientemente resuelta ni señal actual.,"Mantener sin coordenadas. Buscar dirección, teléfono público, publicación local o mapa que permita individualizar el establecimiento.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:carmelo:m-victoria,Colonia,Carmelo,Carmelo,M. Victoria,,"Zorrilla de San Martín 621, Carmelo",Probable alta,,,,,H1,Histórico con dirección probable/documentada,A_historical,Baja,unknown,not_confirmed,pending,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf,,,"Sin coincidencia nominal en las fichas de Colonia consultadas en Arandú. | La dirección es una inferencia documentada, no una confirmación actual.","La dirección histórica es razonable, pero no se confirmó funcionamiento actual.","Buscar por la dirección histórica en mapas, directorios, prensa y redes públicas; confirmar nombre actual y continuidad; geocodificar solo con respaldo suficiente.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:carmelo:la-esperanza,Colonia,Carmelo,Carmelo,La Esperanza,,"Solís 119, Carmelo",Probable alta,,,,,H1,Histórico con dirección probable/documentada,A_historical,Baja,unknown,not_confirmed,pending,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf,,,"Sin coincidencia nominal en las fichas de Colonia consultadas en Arandú. | No confundir con residenciales homónimos de Canelones, Montevideo u otros departamentos.","La dirección histórica es razonable, pero no se confirmó funcionamiento actual.","Buscar por la dirección histórica en mapas, directorios, prensa y redes públicas; confirmar nombre actual y continuidad; geocodificar solo con respaldo suficiente.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:carmelo:marys-montero,Colonia,Carmelo,Carmelo,Marys Montero,,,No resuelta,,,,,H4,Histórico sin dirección resuelta,A_historical,Baja,unknown,not_confirmed,pending,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,,,,Sin coincidencia nominal en las fichas de Colonia consultadas en Arandú. | Los resultados abiertos por “Mary Montero” no correspondieron a un ELEPEM de Carmelo.,No hay dirección suficientemente resuelta ni señal actual.,"Mantener sin coordenadas. Buscar dirección, teléfono público, publicación local o mapa que permita individualizar el establecimiento.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:carmelo:la-familia,Colonia,Carmelo,Carmelo,La Familia,,"Uruguay 149, Carmelo",Probable media,,,,,H1,Histórico con dirección probable/documentada,A_historical,Baja,unknown,not_confirmed,pending,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf,,,"Sin coincidencia nominal en Colonia. Arandú contiene establecimientos homónimos en otros departamentos, que no son este caso. | Nombre genérico: no utilizar coincidencia nominal nacional para deduplicar.","La dirección histórica es razonable, pero no se confirmó funcionamiento actual.","Buscar por la dirección histórica en mapas, directorios, prensa y redes públicas; confirmar nombre actual y continuidad; geocodificar solo con respaldo suficiente.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:carmelo:margaritas,Colonia,Carmelo,Carmelo,Margaritas,,,No resuelta,,,,,H4,Histórico sin dirección resuelta,A_historical,Baja,unknown,not_confirmed,pending,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,,,,"Sin coincidencia nominal en las fichas de Colonia consultadas en Arandú. | El nombre produce resultados irrelevantes de viviendas, comercios y lugares de otros países.",No hay dirección suficientemente resuelta ni señal actual.,"Mantener sin coordenadas. Buscar dirección, teléfono público, publicación local o mapa que permita individualizar el establecimiento.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:carmelo:mary-verde,Colonia,Carmelo,Carmelo,Mary Verde,,"Juncal 755, Carmelo",Probable media,,,,,H1,Histórico con dirección probable/documentada,A_historical,Baja,unknown,not_confirmed,pending,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf,,,"Sin coincidencia nominal en las fichas de Colonia consultadas en Arandú. | La correspondencia se apoya en dirección/mapa, no en una fuente pública actual.","La dirección histórica es razonable, pero no se confirmó funcionamiento actual.","Buscar por la dirección histórica en mapas, directorios, prensa y redes públicas; confirmar nombre actual y continuidad; geocodificar solo con respaldo suficiente.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:carmelo:mi-sueno,Colonia,Carmelo,Carmelo,Mi Sueño,,,No resuelta,,,,,H4,Histórico sin dirección resuelta,A_historical,Baja,unknown,not_confirmed,pending,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,,,,Sin coincidencia nominal en Colonia; existen varias fichas Mi Sueño en otros departamentos. | La homonimia nacional hace insuficiente cualquier coincidencia solo por nombre.,No hay dirección suficientemente resuelta ni señal actual.,"Mantener sin coordenadas. Buscar dirección, teléfono público, publicación local o mapa que permita individualizar el establecimiento.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:carmelo:aris,Colonia,Carmelo,Carmelo,Aris,,"Gral. Artigas 468, Carmelo",Probable alta,,,,,H1,Histórico con dirección probable/documentada,A_historical,Baja,unknown,not_confirmed,pending,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf,,,Sin coincidencia nominal en las fichas de Colonia consultadas en Arandú. | El nombre corto produce muchos falsos positivos; la dirección debe ser el criterio principal.,"La dirección histórica es razonable, pero no se confirmó funcionamiento actual.","Buscar por la dirección histórica en mapas, directorios, prensa y redes públicas; confirmar nombre actual y continuidad; geocodificar solo con respaldo suficiente.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:rosario:hogar-artigas,Colonia,Rosario,Rosario,Hogar Artigas,,"18 de Julio 166, entre Artigas y Sarandí, Rosario",Histórica probable | Alta,,,,,H1,Histórico con dirección probable/documentada,A_historical,Baja,unknown,not_confirmed,pending,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf,,,"Sin coincidencia exacta documentada en Arandú | Correspondencia probable, no identificación definitiva.","La dirección histórica es razonable, pero no se confirmó funcionamiento actual.","Buscar por la dirección histórica en mapas, directorios, prensa y redes públicas; confirmar nombre actual y continuidad; geocodificar solo con respaldo suficiente.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:rosario:rincon-de-los-abuelos,Colonia,Rosario,Rosario,Rincón de los Abuelos,,,No resuelta | Baja,,,,,H4,Histórico sin dirección resuelta,A_historical,Baja,unknown,not_confirmed,pending,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,,,,Sin coincidencia exacta documentada en Arandú | No usar la coincidencia de 7 residentes como prueba suficiente.,No hay dirección suficientemente resuelta ni señal actual.,"Mantener sin coordenadas. Buscar dirección, teléfono público, publicación local o mapa que permita individualizar el establecimiento.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:rosario:de-la-familia,Colonia,Rosario,Rosario,De la Familia,,,No resuelta | Baja,,,,,H4,Histórico sin dirección resuelta,A_historical,Baja,unknown,not_confirmed,pending,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,,,,Sin coincidencia exacta documentada en Arandú | No confundir con establecimientos homónimos de otros departamentos.,No hay dirección suficientemente resuelta ni señal actual.,"Mantener sin coordenadas. Buscar dirección, teléfono público, publicación local o mapa que permita individualizar el establecimiento.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:rosario:hogar-alicia,Colonia,Rosario,Rosario,Hogar Alicia,,"Artigas 469, entre Leopoldo Fuica y Rincón, Rosario",Histórica probable | Media-alta,,,,,H1,Histórico con dirección probable/documentada,A_historical,Baja,unknown,not_confirmed,pending,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf,,,"Sin coincidencia exacta documentada en Arandú | La diferencia de un residente es compatible con un cambio temporal, pero no prueba identidad.","La dirección histórica es razonable, pero no se confirmó funcionamiento actual.","Buscar por la dirección histórica en mapas, directorios, prensa y redes públicas; confirmar nombre actual y continuidad; geocodificar solo con respaldo suficiente.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:rosario:araceli,Colonia,Rosario,Rosario,Araceli,,,No resuelta | Baja,,,,,H4,Histórico sin dirección resuelta,A_historical,Baja,unknown,not_confirmed,pending,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,,,,Sin coincidencia exacta documentada en Arandú | El nombre personal produce alto riesgo de falsos positivos.,No hay dirección suficientemente resuelta ni señal actual.,"Mantener sin coordenadas. Buscar dirección, teléfono público, publicación local o mapa que permita individualizar el establecimiento.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:rosario:hogar-paula,Colonia,Rosario,Rosario,Hogar Paula,,"General Artigas 407, entre 25 de Mayo y Rincón, Rosario",Histórica tentativa | Media,,,,,H2,Histórico con dirección tentativa,A_historical,Baja,unknown,not_confirmed,pending,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf,,,"Sin coincidencia exacta documentada en Arandú | La dirección propuesta es tentativa, no lista para integración pública.",La dirección es tentativa y tampoco se confirmó funcionamiento actual.,Mantener la dirección como hipótesis. Buscar una fuente pública nominal que vincule nombre y domicilio antes de geocodificar.,arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:rosario:vintage,Colonia,Rosario,Rosario,Vintage,,"Leopoldo Fuica 366, Rosario",Pública actual | Media-alta,,,4552 4957,,P1,Prioridad alta — confirmar señal reciente,B_public,Media-alta,probable_active_unconfirmed,not_confirmed,priority_confirm,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,https://uy.todosnegocios.com/residencial-vintage-4552-4957,https://es.cybo.com/UY-biz/residencial-vintage,https://www.google.com/maps/?cid=3529056932603886204,Sin coincidencia exacta documentada en Arandú | La evidencia pública actual no equivale a habilitación ni certificado social.,Falta confirmar funcionamiento actual y precisión geográfica con una segunda fuente pública.,Buscar una segunda fuente pública de 2025–2026 que confirme funcionamiento y larga estadía; obtener dirección y coordenadas exactas; revisar duplicados. No realizar contacto.,arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
