imageId,codigo,sourceRecordId,residencial,position,role,status,localPath,sha256,bytes,format,width,height,error
IMG-0011,FAC-LEGACY-ELP-0007-0F0B0EE287155CBB,24,Biltmore,1,Principal,OK,imagenes/24__biltmore/IMG-0011__01__principal.jpg,fbea4ea10fc7fcef77605ba23595deb7ab44a1e189f3861c315f4b20342d5e19,500946,JPEG,1200,1096,
IMG-0012,FAC-LEGACY-ELP-0323-0AE0F719E394692C,269,Buenos Tiempos,1,Principal,OK,imagenes/269__buenos-tiempos/IMG-0012__01__principal.jpg,4b72e8102b7de1f250de82a48ee5854ad02f757a817ba77027b8f219b6484269,160946,JPEG,1066,945,
IMG-0013,FAC-LEGACY-MSP24-158-20EB90AA4AC20624,725,Carrasco Home,1,Principal,OK,imagenes/725__carrasco-home/IMG-0013__01__principal.jpg,2e91b684befc4d6fa280227804db598dba52cf8bfed66096f84d5d9e9f0f410f,1013102,JPEG,2560,1707,
IMG-0014,FAC-LEGACY-ELP-0212-9B6A5E20CD141BF7,189,Casa del Sol,1,Principal,OK,imagenes/189__casa-del-sol/IMG-0014__01__principal.jpg,601941982d42b53ce3250982f362f9b6cd76e38cb34fe9395135c9b9985b4cac,132899,JPEG,1159,768,
IMG-0015,FAC-LEGACY-ELP-0582-93D22D7B7E424AB9,406,Casa Garzón,1,Principal,OK,imagenes/406__casa-garzon/IMG-0015__01__principal.jpg,e2bc82078d97f490de068edf3a477b3d791199dca85c999ec94adf02a888f4c7,645322,JPEG,1734,1156,
IMG-0016,FAC-LEGACY-MSPREG24-025-F762A2AD9BFF55D8,798,Casa Provenza,1,Principal,OK,imagenes/798__casa-provenza/IMG-0016__01__principal.jpg,5d7e5dfda628a7d89d7ea5403173106da3c4bc21c900cb4b586d76ab8f2a59b0,112456,JPEG,1152,768,
IMG-0017,FAC-LEGACY-APP-2DF21A762FE0740B-B9925C90285AB83E,3,Casa Ravello,1,Principal,OK,imagenes/3__casa-ravello/IMG-0017__01__principal.jpg,1c714fc0b1e9a82370424dda03e84e94665eb43dd3ef7c115435d3df1eae74a6,508777,JPEG,2560,1703,
IMG-0018,FAC-LEGACY-APP-2DF21A762FE0740B-B9925C90285AB83E,3,Casa Ravello,2,Complementaria,OK,imagenes/3__casa-ravello/IMG-0018__02__complementaria.jpg,95131e4bab5150462219d9117af8f44ed115b174c3d9993113dbb29789ed556d,78032,JPEG,1024,768,
IMG-0019,FAC-LEGACY-ELP-0339-553455CD6DDCA934,277,Casona Carrasco,1,Principal,OK,imagenes/277__casona-carrasco/IMG-0019__01__principal.jpg,ac41d183f2dc1f8f1071e47732f2886e481bd41e1d232e31c6ac055ca32c1c3a,215512,JPEG,1024,905,
IMG-0020,FAC-LEGACY-ELP-0011-6028818C56BC9219,28,Centro Vital,1,Principal,OK,imagenes/28__centro-vital/IMG-0020__01__principal.jpg,2195c95d3f745c504a6290b49bfe1f2f054ecdb1056af2d3682a34bd3992fcf9,209048,JPEG,1152,768,
IMG-0021,FAC-LEGACY-MSP24-141-17E9A43582091406,708,Corazón de Oro,1,Principal,OK,imagenes/708__corazon-de-oro/IMG-0021__01__principal.jpg,3b7b9877084ccf02d379170aa53c81afb82c0cf37430a40a958b165ce41f4f6e,313212,JPEG,828,1472,
IMG-0022,FAC-LEGACY-MSP24-165-FE59DF82200AF31F,732,Dolce Primavera,1,Principal,OK,imagenes/732__dolce-primavera/IMG-0022__01__principal.jpg,eeede6482e692f0919895b573d4fd86bdceb61cc795ccad47bbdbd9556ac62ec,72680,JPEG,1920,783,
IMG-0023,FAC-LEGACY-MSP24-165-FE59DF82200AF31F,732,Dolce Primavera,2,Complementaria,OK,imagenes/732__dolce-primavera/IMG-0023__02__complementaria.jpg,288885fa9808eb82e8be75151396feb70fd96f607e70929c13f55458d6be3092,36483,JPEG,880,520,
IMG-0024,FAC-LEGACY-MSP24-165-FE59DF82200AF31F,732,Dolce Primavera,3,Complementaria,OK,imagenes/732__dolce-primavera/IMG-0024__03__complementaria.jpg,6b43886407d3c8395abe60ac77be6364a4014f1ef8e2bdda8e727644cf3ac237,23099,JPEG,880,520,
IMG-0025,FAC-LEGACY-ELP-0801-A058CF6EC130D243,558,Doña Blanca,1,Principal,OK,imagenes/558__dona-blanca/IMG-0025__01__principal.jpg,ddd9b72861cf1f3442ba0c0bfe4111f2f1158b5959f0fe9554ef226f2692fb0e,126678,JPEG,720,1600,
IMG-0026,FAC-LEGACY-MSP24-074-1F6A59DB4CB83E73,641,Doña María,1,Principal,OK,imagenes/641__dona-maria/IMG-0026__01__principal.jpg,9f4696e24df1426b40b4893ba9d559e3b865bcc9dadc0fdd43ad6cd2d0cd78ac,611594,JPEG,2560,1920,
IMG-0027,FAC-LEGACY-MSP24-074-1F6A59DB4CB83E73,641,Doña María,2,Complementaria,OK,imagenes/641__dona-maria/IMG-0027__02__complementaria.jpg,c3714166675b476253caae59261d0fd6be4b671f90ade9dae55eea3de41a0dd1,69368,JPEG,1024,768,
IMG-0028,FAC-LEGACY-ELP-0596-D422B9C035B4D1C5,418,El Retorno,1,Principal,OK,imagenes/418__el-retorno/IMG-0028__01__principal.jpg,170e79205d889513185ad4fa875efb4dc961dae921b7745f8267f40559c4ec96,356404,JPEG,2000,1500,
IMG-0029,FAC-LEGACY-ELP-0423-48663F84E3D7A49E,320,Historias de Vida,1,Principal,OK,imagenes/320__historias-de-vida/IMG-0029__01__principal.jpg,6b6840aff340d74eb8da803a49a1237ab0242636c1dc32e343392b81cce223c5,450880,JPEG,2560,1455,
IMG-0030,FAC-LEGACY-ELP-0434-28966724F4B62110,327,Hogar Esperanza,1,Principal,OK,imagenes/327__hogar-esperanza/IMG-0030__01__principal.jpg,089feebab9f839b69a09779d69a8afcd5d91acff54b0ee3226ec118d25e911e1,52348,JPEG,500,500,
IMG-0031,FAC-LEGACY-MSP24-055-E621D275C1BBB860,622,Hogar Marsella,1,Principal,OK,imagenes/622__hogar-marsella/IMG-0031__01__principal.jpg,44aa45e2baf7106651a808c378a5b28dfd9af68e63a3fe7fef2fde9184d7242b,138685,JPEG,1053,900,
IMG-0032,FAC-CANDIDATE-133,1028,Indigo,1,Principal,OK,imagenes/1028__indigo/IMG-0032__01__principal.jpg,0cb55acc1c25a1fed9c4f500e3f8598aa009982bf5cbeab72d9f2f16d6b30683,388813,JPEG,2560,1920,
IMG-0033,FAC-LEGACY-ELP-0041-000D6554FD4258D3,52,Jacarandá,1,Principal,OK,imagenes/52__jacaranda/IMG-0033__01__principal.jpg,5ecbb94ebb5aa7e3e069f4d97084783ae28fa35fe4e3499d3465922f9f36d589,467452,JPEG,1600,1200,
IMG-0034,FAC-LEGACY-ELP-0041-000D6554FD4258D3,52,Jacarandá,2,Complementaria,OK,imagenes/52__jacaranda/IMG-0034__02__complementaria.jpg,c0c92ec5dab28426725e2c8f582e7e1dbad34308627384a3bca5bf494e5e9f06,357850,JPEG,2048,1152,
IMG-0035,FAC-CANDIDATE-135,1030,Jardín del Sol,1,Principal,OK,imagenes/1030__jardin-del-sol/IMG-0035__01__principal.jpg,60e9116edb5d26c0579bd43a6a8ad6eda3976392adf148b3ea7bfde21951feac,461149,JPEG,1920,1143,
IMG-0036,FAC-LEGACY-MSP24-113-9E135D5A88992368,680,La Belle Epoque,1,Principal,OK,imagenes/680__la-belle-epoque/IMG-0036__01__principal.jpg,92d8f0666942088ab3e5735671354bfd63902ab23db15d1709d6bb9aa4f58507,2339297,JPEG,1732,1155,
IMG-0037,FAC-LEGACY-ELP-0437-C3267606B15A6749,328,La Capilla,1,Principal,OK,imagenes/328__la-capilla/IMG-0037__01__principal.jpg,6749557ed8df9e680a64df309b27eb0b4a81b96e0685b0f6c6b95f20b156881d,224005,JPEG,754,1019,
IMG-0038,FAC-LEGACY-ELP-0045-E127E8EEBDBB3250,54,La Carolina,1,Principal,OK,imagenes/54__la-carolina/IMG-0038__01__principal.jpg,2da10e40a428fda073d3c65c1c5387072293b575bfeed1dc201c447aad3a7cb6,153335,JPEG,1152,768,
IMG-0039,FAC-LEGACY-MSP24-116-4E3543F7B42116F8,683,La Rosaleda,1,Principal,OK,imagenes/683__la-rosaleda/IMG-0039__01__principal.jpg,251d24c76e98dfe92469ec4980cc3442deba8f0638fa107a0ac63fd3853bdd19,64700,JPEG,516,768,
IMG-0040,FAC-LEGACY-MSP24-163-E9E75F95BD0A8370,730,La Terraza,1,Principal,OK,imagenes/730__la-terraza/IMG-0040__01__principal.webp,72d64f31599d60508a08873e2cb74d7aa5a875f3bc0198dc85b0fb0576a95e95,67480,WEBP,617,463,
IMG-0041,FAC-LEGACY-MSP24-081-8371836BFC6FD057,648,Las Cuatro Estaciones,1,Principal,OK,imagenes/648__las-cuatro-estaciones/IMG-0041__01__principal.jpg,ad11b4db189bdf2075a095923e54582f1a8250da36a2c561bae66678d42888d1,178854,JPEG,1024,768,
IMG-0042,FAC-LEGACY-ELP-0235-24E77431FF337D93,204,Los Olivos,1,Principal,OK,imagenes/204__los-olivos/IMG-0042__01__principal.jpg,390435159bb60255754982a0c3e060344fb912deb70c05095eb6cd144c5055eb,1205147,JPEG,2048,2048,
IMG-0043,FAC-LEGACY-ELP-0056-F35989C075D724E7,64,Luz del Sol,1,Principal,OK,imagenes/64__luz-del-sol/IMG-0043__01__principal.jpg,eca7b109d24404d2303542443fde470e438a70c086f05d7807e86abd04b9c57b,159199,JPEG,1152,768,
IMG-0044,FAC-CANDIDATE-139,1034,Manantiales,1,Principal,OK,imagenes/1034__manantiales/IMG-0044__01__principal.jpg,60fe4d072c65ff0efe061e42d291acac3372a7fe12aba9a358a08d43e9d32376,361682,JPEG,1600,777,
IMG-0045,FAC-LEGACY-MSP24-011-690FB5E8DE8BD869,578,Manas Home,1,Principal,OK,imagenes/578__manas-home/IMG-0045__01__principal.jpg,49fdda08678ef597d2bb3a8860e1b05e16a32472ec4a08874210225f00b8d452,192480,JPEG,1155,768,
IMG-0046,FAC-LEGACY-MSP24-011-690FB5E8DE8BD869,578,Manas Home,2,Complementaria,OK,imagenes/578__manas-home/IMG-0046__02__complementaria.jpg,8e621f5fa55d5d609d224d59afb69dc312ab6c219ab32e771706e1e7b4b27884,130308,JPEG,1152,768,
IMG-0047,FAC-LEGACY-MSP24-011-690FB5E8DE8BD869,578,Manas Home,3,Complementaria,OK,imagenes/578__manas-home/IMG-0047__03__complementaria.jpg,b24d28b005efd369f113f146aa25b9bb540afd83a691f0d8465863142b63dcde,152952,JPEG,1152,768,
IMG-0048,FAC-LEGACY-MSP24-132-A5E4A5B062506CC2,699,Mi Jazmín,1,Principal,OK,imagenes/699__mi-jazmin/IMG-0048__01__principal.jpg,9dfdc928231b7db8cb49e557361cd5d20a803bb923317c87f5d795a9d4c2d94f,89852,JPEG,630,768,
IMG-0049,FAC-LEGACY-MSP24-086-5EDD21227DF5C42D,653,Mis Nietos,1,Principal,OK,imagenes/653__mis-nietos/IMG-0049__01__principal.jpg,a0b7d71ad5467dfe780ea51c07a21722b401a18f25ebdf12865d0ee6dda56392,206872,JPEG,1190,768,
IMG-0050,FAC-LEGACY-ELP-0539-765EF7D5E260DF1D,375,Nápoles,1,Principal,OK,imagenes/375__napoles/IMG-0050__01__principal.jpg,da7e64dd458fa3b87b9056742976791acde28756a8acb77b9c9ed4ef9236f054,590672,JPEG,2344,2560,
IMG-0051,FAC-LEGACY-ELP-0625-2C4120F281E273B7,442,Nirvana,1,Principal,OK,imagenes/442__nirvana/IMG-0051__01__principal.jpg,938c05fe98d87e6dd26d754e9a53a9557993d573bdcb6ce4b32d9828aa04b9ce,128397,JPEG,1024,768,
IMG-0052,FAC-LEGACY-ELP-0631-BA3F5F2D66A2079E,448,Our Place,1,Principal,OK,imagenes/448__our-place/IMG-0052__01__principal.jpg,c8522eeb8c8b1d1778b86f415048098682e8787198cc635a0ee79511db0fa47e,877267,JPEG,2560,2560,
IMG-0053,FAC-LEGACY-ELP-0555-BB4202A284A223D2,387,Palas Atenea Pocitos,1,Principal,OK,imagenes/387__palas-atenea-pocitos/IMG-0053__01__principal.jpg,bfdaddc2ab7cdefa7eb03c6c76354e757a6e6e2c7a4728c8a01a196ed670fd1f,162304,JPEG,1200,799,
IMG-0054,FAC-LEGACY-ELP-0555-BB4202A284A223D2,387,Palas Atenea Pocitos,2,Complementaria,OK,imagenes/387__palas-atenea-pocitos/IMG-0054__02__complementaria.jpg,2e060cd4109bf86fc6e700ebdfe3fe95832e5968316d1488836d0c1b923f86fe,78183,JPEG,1200,799,
IMG-0055,FAC-LEGACY-MSP24-099-85E0EA134D40834A,666,Polo House,1,Principal,OK,imagenes/666__polo-house/IMG-0055__01__principal.jpg,5b127c554fdfe433ea02201f4af4f4d53dd0d57f2f1b49bc5a1578bc722cd0a9,136257,JPEG,640,480,
IMG-0056,FAC-LEGACY-MSP24-099-85E0EA134D40834A,666,Polo House,2,Complementaria,OK,imagenes/666__polo-house/IMG-0056__02__complementaria.jpg,3a78111c923abecb822451b190727900014b62eb6b90611b867666eea5c8351c,99581,JPEG,640,480,
IMG-0057,FAC-LEGACY-MSP24-099-85E0EA134D40834A,666,Polo House,3,Complementaria,OK,imagenes/666__polo-house/IMG-0057__03__complementaria.jpg,72421bff8a58f6aba922e8cda12a41f6fe8bb71af22561c6bfd0f7b997f799fb,135352,JPEG,640,480,
IMG-0058,FAC-LEGACY-ELP-0070-386F31ED04B70FF0,76,Puentecasa,1,Principal,OK,imagenes/76__puentecasa/IMG-0058__01__principal.jpg,dfbe78580e6cdf4e517c639da1c09404eed8515962ecc4cb84d4629cb8d44051,780352,JPEG,2560,1920,
IMG-0059,FAC-LEGACY-ELP-0304-E2871F1B4D5762FB,259,Residencial Apart Hotel,1,Principal,OK,imagenes/259__residencial-apart-hotel/IMG-0059__01__principal.jpg,55cb742e47fe080785e3055cf0cddbe020411e6b55e22cdb2067cbfb458c5353,170498,JPEG,1151,768,
IMG-0060,FAC-LEGACY-ELP-0304-E2871F1B4D5762FB,259,Residencial Apart Hotel,2,Complementaria,OK,imagenes/259__residencial-apart-hotel/IMG-0060__02__complementaria.jpg,59c41c72cac0c3281d1a800fa3f0286f4b8f63df73581a9638e56f0a538cc4ec,91899,JPEG,1152,768,
IMG-0061,FAC-LEGACY-MSP24-024-5E4A932D83C06AB9,591,Residencial Nahuel,1,Principal,OK,imagenes/591__residencial-nahuel/IMG-0061__01__principal.jpg,143000e31aadcd46193738b49a4f98809d66b31dcf4b0f106c71da407b61778e,168456,JPEG,1200,801,
IMG-0062,FAC-LEGACY-MSP24-024-5E4A932D83C06AB9,591,Residencial Nahuel,2,Complementaria,OK,imagenes/591__residencial-nahuel/IMG-0062__02__complementaria.jpg,482e378ce739fa6470bb5ecee5395251bfa1ee1702e8bb36d676acc630fe1de2,231476,JPEG,1200,801,
IMG-0063,FAC-CANDIDATE-141,1035,Residencial Pontevedra,1,Principal,OK,imagenes/1035__residencial-pontevedra/IMG-0063__01__principal.jpg,dc74775b8b434ff94bd0c3e1985d343fb3aec3dcb3fe05676f149657b1bc3fcd,16490,JPEG,880,520,
IMG-0064,FAC-CANDIDATE-141,1035,Residencial Pontevedra,2,Complementaria,OK,imagenes/1035__residencial-pontevedra/IMG-0064__02__complementaria.jpg,5db9a565ec554f93b531d89da81b38b84665105d4f3dfb4acd8341ab712af0f0,24263,JPEG,880,520,
IMG-0065,FAC-LEGACY-ELP-0090-F7F06503E5098D4A,95,Residencial Solymar,1,Principal,OK,imagenes/95__residencial-solymar/IMG-0065__01__principal.jpg,eff1d0d2e92ee7b3590d4840f0afd8dc6d24c94b32a5100f04947533cfeb7aba,366023,JPEG,1394,826,
IMG-0066,FAC-LEGACY-ELP-0090-F7F06503E5098D4A,95,Residencial Solymar,2,Complementaria,OK,imagenes/95__residencial-solymar/IMG-0066__02__complementaria.jpg,ab256fc3668ae758cb7d90714be97c8099a055c0d5efff6f950130c267e91936,366883,JPEG,895,1343,
IMG-0067,FAC-LEGACY-ELP-0667-3C4D19F402F6FE2D,470,Residencial Zuich,1,Principal,OK,imagenes/470__residencial-zuich/IMG-0067__01__principal.jpg,cadf3e8b61f4cb7013e7b6fcfd21f619c5872b12ca5e8ec7d443125597a95357,160853,JPEG,1024,768,
IMG-0068,FAC-LEGACY-MSP24-128-0077C3F2BA4412D2,695,Saniguet,1,Principal,OK,imagenes/695__saniguet/IMG-0068__01__principal.jpg,3cf518d144f2c7fdf1c32088f361bb246041af02fe361de62f70b8aad7f1501f,207825,JPEG,1600,1068,
IMG-0069,FAC-LEGACY-MSP24-041-25544A83B648E4BA,608,Santa Bernardita,1,Principal,OK,imagenes/608__santa-bernardita/IMG-0069__01__principal.jpg,bee6aca758762d9245c40d8fcd740a63071578e2d623436867461ebd7c46a320,158475,JPEG,1920,783,
IMG-0070,FAC-LEGACY-MSP24-041-25544A83B648E4BA,608,Santa Bernardita,2,Complementaria,OK,imagenes/608__santa-bernardita/IMG-0070__02__complementaria.jpg,60a9ba006abe0db37d7112cdeb931be6c77c4704771be84399841492d521b4f3,26372,JPEG,880,520,
IMG-0071,FAC-LEGACY-MSP24-041-25544A83B648E4BA,608,Santa Bernardita,3,Complementaria,OK,imagenes/608__santa-bernardita/IMG-0071__03__complementaria.jpg,05c0aae7de141ede029490f311901e244e6d908f2251673d816b69521f738d85,27564,JPEG,880,520,
IMG-0072,FAC-LEGACY-MSP24-067-11D2A9934CD5D0EC,634,Seraan,1,Principal,OK,imagenes/634__seraan/IMG-0072__01__principal.jpg,da73cc5b26b2758fd82e9fd9f85b5d0abb21a5939de59c5b28df2ad79b671685,193474,JPEG,1365,768,
IMG-0073,FAC-LEGACY-MSP24-025-2F4C08E530CFFDE6,592,Solaz,1,Principal,OK,imagenes/592__solaz/IMG-0073__01__principal.jpg,d652f2d85633d0074e6555e95831a7a99dccb7988a67ef03f51782fb5321f9db,49911,JPEG,667,500,
IMG-0074,FAC-LEGACY-MSP24-025-2F4C08E530CFFDE6,592,Solaz,2,Complementaria,OK,imagenes/592__solaz/IMG-0074__02__complementaria.jpg,908cc298eb5bdc59623e20a2ad93950cae81a83a8d91b1b93d92d854421d15c5,47659,JPEG,726,500,
IMG-0075,FAC-LEGACY-MSP24-025-2F4C08E530CFFDE6,592,Solaz,3,Complementaria,OK,imagenes/592__solaz/IMG-0075__03__complementaria.jpg,7efae98ba94d46971d48a10b0f9923411c86ca2414199445b5ef398215dae7c7,31301,JPEG,667,500,
IMG-0076,FAC-LEGACY-MSP24-060-2F6A9CE7CDDDE4F2,627,Sueños Compartidos,1,Principal,OK,imagenes/627__suenos-compartidos/IMG-0076__01__principal.jpg,13fd7aa28724716c6e29587b1f69afda67c900f2fee4349498be0c7c372fbc86,102941,JPEG,960,720,
IMG-0077,FAC-LEGACY-MSP24-060-2F6A9CE7CDDDE4F2,627,Sueños Compartidos,2,Complementaria,OK,imagenes/627__suenos-compartidos/IMG-0077__02__complementaria.jpg,cb4aee6b212885ca45301e13d6e879ed3929b592df701542a777790ea7631fdc,412321,JPEG,2560,1708,
IMG-0078,FAC-LEGACY-ELP-0652-61C73CB02C567F5F,461,Sweet Home,1,Principal,OK,imagenes/461__sweet-home/IMG-0078__01__principal.jpg,5dcfcda096acc0c05d58a4bf851e999e8f8320a24f45f2ef2a22746fcba10437,205788,JPEG,1152,768,
IMG-0079,FAC-LEGACY-MSPREG24-005-A5DDB0ACEAFFF7A0,779,Tempus,1,Principal,OK,imagenes/779__tempus/IMG-0079__01__principal.jpg,212f8ae22cd07620f84b1d04ce1089fc654db5365dc28a0b4168e8ccfa333a46,341626,JPEG,1500,782,
IMG-0080,FAC-LEGACY-MSP24-094-C05D562E40AF2EDC,661,The Green Home,1,Principal,OK,imagenes/661__the-green-home/IMG-0080__01__principal.jpg,931b54792344e1746fd61355660598b36a8d28169264eb408708d918b4531638,70086,JPEG,1920,783,
IMG-0081,FAC-LEGACY-MSP24-094-C05D562E40AF2EDC,661,The Green Home,2,Complementaria,OK,imagenes/661__the-green-home/IMG-0081__02__complementaria.jpg,8ab9c1561b5fc0e1b9d619dc87a8163416b63e1e60f90d0a8678e57546c20356,138874,JPEG,1600,777,
IMG-0082,FAC-LEGACY-MSP24-094-C05D562E40AF2EDC,661,The Green Home,3,Complementaria,OK,imagenes/661__the-green-home/IMG-0082__03__complementaria.jpg,4b76423d9a79565758bd7d2507709525002cf70ef5a3b0d545413f86c7ca361b,61647,JPEG,1600,777,
IMG-0083,FAC-LEGACY-ELP-0699-2AF5C4249501D7D2,489,Tilos de Abril,1,Principal,OK,imagenes/489__tilos-de-abril/IMG-0083__01__principal.jpg,ffbab15b8707c0b12cba664d96c90b9d171945528d75ce65df7b7902adf9e9da,227236,JPEG,1170,791,
IMG-0084,FAC-CANDIDATE-163,1004,Villa Azul,1,Principal,OK,imagenes/1004__villa-azul/IMG-0084__01__principal.jpg,3c01c214ced8a257ddfa4af21abb587733ce9dcbd13a9a82bb7391347a926a35,235488,JPEG,1600,1200,
IMG-0085,REC-822,822,Basilea Suites,1,Principal,OK,imagenes/822__basilea-suites/IMG-0085__01__principal.jpg,530b57a9800a8f19a8db8efd1ace6a2cd79d34e75b26a49e5cc99c72b4fb685d,924402,JPEG,1920,2560,
IMG-0086,REC-822,822,Basilea Suites,2,Complementaria,OK,imagenes/822__basilea-suites/IMG-0086__02__complementaria.jpg,acd50314be9e5f276759a98b778c2fd25a3a99985a4b18dddb01d2098d607d12,147432,JPEG,800,500,
IMG-0087,REC-822,822,Basilea Suites,3,Complementaria,OK,imagenes/822__basilea-suites/IMG-0087__03__complementaria.jpg,38acc9686bae3d33712c7d07e8bdddb4c5e492c4ee9e8b66a4a776706b7a9dbe,211905,JPEG,1024,640,
IMG-0088,REC-822,822,Basilea Suites,4,Complementaria,OK,imagenes/822__basilea-suites/IMG-0088__04__complementaria.jpg,8a2065cacbeb2eb9a4e0cf2c2c236d40cbf476e6103aef96f6128525d744c8c4,286672,JPEG,960,640,
IMG-0089,REC-822,822,Basilea Suites,5,Complementaria,OK,imagenes/822__basilea-suites/IMG-0089__05__complementaria.jpg,570efd6d299cfb0e8614c6e3ed97643c586ec92aae9de6186907cf71e042cc37,188817,JPEG,960,640,
IMG-0090,REC-822,822,Basilea Suites,6,Complementaria,OK,imagenes/822__basilea-suites/IMG-0090__06__complementaria.jpg,cdc41d548d4658e8fc8c481c5e14dea270ce70ff12e7cde7ba164b6d8bfdb208,168213,JPEG,960,640,
IMG-0091,REC-760,760,Carpe Diem,1,Principal,OK,imagenes/760__carpe-diem/IMG-0091__01__principal.jpg,25ec8cb4c7d520224b26d22ee00a9c544736108cb83a60d767a596defbfea47f,273719,JPEG,1080,720,
IMG-0092,REC-760,760,Carpe Diem,2,Complementaria,OK,imagenes/760__carpe-diem/IMG-0092__02__complementaria.jpg,b783eacd28f4070f28e5f4539bef30c25c64dd08c17f9a690b64e3225249cbd1,102607,JPEG,1080,720,
IMG-0093,REC-760,760,Carpe Diem,3,Complementaria,OK,imagenes/760__carpe-diem/IMG-0093__03__complementaria.jpg,9e25970d62b85be3c97331654449d9f9f40c7ea1839c62407ebee6cae8fbba32,106512,JPEG,1080,720,
IMG-0094,REC-760,760,Carpe Diem,4,Complementaria,OK,imagenes/760__carpe-diem/IMG-0094__04__complementaria.jpg,315553602587165d0e5c8e62b4b6c703e0fb7c2f8301b6a4545ff40329df3af0,445473,JPEG,1080,720,
IMG-0095,REC-827,827,Casa Andreoni,1,Principal,OK,imagenes/827__casa-andreoni/IMG-0095__01__principal.jpg,701eb99c340d5f1c07c04d778cfb8bf10cdb5faa2c5b2e7cb5df8eb72f2b7a32,162527,JPEG,800,533,
IMG-0096,REC-827,827,Casa Andreoni,2,Complementaria,OK,imagenes/827__casa-andreoni/IMG-0096__02__complementaria.jpg,06c648593e7739e9c3d781d4741416f1a3707ba20d5fd9c5d056a94e7c452ac0,90072,JPEG,800,533,
IMG-0097,REC-827,827,Casa Andreoni,3,Complementaria,OK,imagenes/827__casa-andreoni/IMG-0097__03__complementaria.jpg,00398442a585ae2f2a5726cc93e34474fd28ef3d4d94f2bc0122e22bfbb2a13a,81081,JPEG,800,533,
IMG-0098,REC-827,827,Casa Andreoni,4,Complementaria,OK,imagenes/827__casa-andreoni/IMG-0098__04__complementaria.jpg,0f3c5a45262780e4b7f41820b52c23f7bcf3044a4446ecee02fd273b0a45808b,80792,JPEG,800,533,
IMG-0099,REC-827,827,Casa Andreoni,5,Complementaria,OK,imagenes/827__casa-andreoni/IMG-0099__05__complementaria.jpg,ace7424d6090a96dfac263e9f200b6744c50e63d5d3b4bc354c619c4db6de0d9,110227,JPEG,800,533,
IMG-0100,REC-827,827,Casa Andreoni,6,Complementaria,OK,imagenes/827__casa-andreoni/IMG-0100__06__complementaria.jpg,8653631c8d6b82d39ae2e1beeba5d81d045806702dcf727080580b48d041d2f0,110543,JPEG,800,533,
