record_id,arandu_id,facility_name,department,locality,address,matched_to_arandu,evidence_type,evidence_category,modality,original_currency,original_price_min,original_price_max,exchange_rate_to_uyu,normalized_price_min_uyu,normalized_price_max_uyu,source_date_text,source_year,source_label,source_url,raw_text,includes,temporal_status,price_confidence,match_confidence,publish_recommendation,notes,review_status
BASE-011,FAC-CANDIDATE-141,Residencial Pontevedra,Montevideo,Montevideo,Blandengues 1915,True,commercial_tariff,exact_amount,Modalidad no precisada,UYU_INFERRED,29000.0,29000.0,1.0,29000,29000,Sin fecha visible,,Red de Residenciales,https://www.redresidenciales.uy/residencial-hotel/montevideo/reducto/residencial-pontevedra/,29000.,"Atención médica, enfermería, alimentación, lavandería y talleres descritos.",Sin fecha; vigencia no verificada,low,high,publish_public_price_undated_confirm,La página omite símbolo y moneda; el valor parece histórico.,pending
BASE-012,FAC-LEGACY-ELP-0048-2D20813D86F4F23D,La Estancia Hotel Residencial,Canelones,Canelones,María Stagnero de Munar esq. Camino Imperiale s/n,True,historical_tariff,exact_amount,Habitación compartida,UYU,75000.0,75000.0,1.0,75000,75000,2024-10,2024,Forbes Uruguay,https://www.forbesuruguay.com/lifestyle/la-estancia-innovador-hotel-residencial-personas-mayores-n63389/amp,Habitación compartida: $75.000.,Referencia periodística de 2024.,Histórico; sustituido por precio publicado en 2026,high,high,historical_context_only,No usar como tarifa actual.,pending
BASE-013,FAC-LEGACY-ELP-0048-2D20813D86F4F23D,La Estancia Hotel Residencial,Canelones,Canelones,María Stagnero de Munar esq. Camino Imperiale s/n,True,historical_tariff,exact_amount,Habitación individual,UYU,100000.0,100000.0,1.0,100000,100000,2024-10,2024,Forbes Uruguay,https://www.forbesuruguay.com/lifestyle/la-estancia-innovador-hotel-residencial-personas-mayores-n63389/amp,Habitación individual: alrededor de $100.000.,Referencia periodística de 2024.,Histórico; sustituido por precio publicado en 2026,high,high,historical_context_only,No usar como tarifa actual.,pending
BASE-014,FAC-LEGACY-ELP-0225-1E6FEE63E2AC3E6B,La Candelaria,Maldonado,Punta del Este,Martiniano Chiossi y Fort Wayne,True,historical_tariff,price_range,Según habitación compartida o individual,UYU,80000.0,120000.0,1.0,80000,120000,2020-11-16,2020,InfoNegocios,https://infonegocios.biz/nota-principal/en-la-mansa-se-agita-la-candelaria-un-residencial-para-potenciar-el-tiempo-de-familia,Rango publicado de $80.000 a $120.000.,No detallado de forma completa.,Histórico; no usar como tarifa actual,high,high,historical_context_only,Referencia de 2020.,pending
BASE-015,FAC-CANDIDATE-171,Álamos Montevideo,Montevideo,Montevideo,Ibiray 2398,True,historical_tariff,price_from,Desde,UYU,95000.0,,1.0,95000,,2020-05-20,2020,InfoNegocios,https://infonegocios.biz/enfoque/llega-el-nuevo-residencial-alamos-un-centro-de-primer-nivel-para-adultos-mayores,Desde $95.000 por mes.,No detallado de forma completa.,Histórico; no usar como tarifa actual,high,high,historical_context_only,Referencia de lanzamiento de 2020.,pending
BASE-016,FAC-LEGACY-ELP-0350-1A44EC6E54F3F2D9,Moirú,Montevideo,Montevideo,Juan Carlos Blanco 3362,True,historical_tariff,price_range,Según modalidad y necesidades,UYU,45000.0,75000.0,1.0,45000,75000,2021-12-24,2021,InfoNegocios,https://infonegocios.biz/nota-principal/moiru-quiere-romper-el-paradigma-va-por-mas-locales,Rango publicado de $45.000 a $75.000 mensuales.,La nota indicaba todos los servicios incluidos.,Histórico; no usar como tarifa actual,high,high,historical_context_only,Referencia de 2021.,pending
BASE-017,FAC-LEGACY-ELP-0606-F6306003DF5F90F8,Humana Residencial,Montevideo,Montevideo,Bv. España 2128,True,historical_tariff,exact_amount,Habitación individual,UYU,125000.0,125000.0,1.0,125000,125000,2019 aprox.,2019,InfoNegocios,https://infonegocios.biz/un-dia-en/humana-con-su-directora-maria-methol,Habitaciones individuales alrededor de $125.000 mensuales.,"Comidas, meriendas, actividades, lavandería, enfermería, aire acondicionado y agua caliente, según la nota.",Histórico; no usar como tarifa actual,medium,high,historical_context_only,La fecha exacta no quedó visible en el resultado consultado.,pending
BASE-020,FAC-LEGACY-ELP-0006-6E3F1CFA89335BAF,Altos del Pinar,Canelones,El Pinar,Rambla Costanera M244 S2,True,historical_tariff,price_range,Habitación individual,UYU,70000.0,80000.0,1.0,70000,80000,2012-05-15,2012,El País,https://www.elpais.com.uy/informacion/residencias-vip-nuevas-tendencias-para-3%C2%AA-edad,Habitaciones individuales entre $70.000 y $80.000.,Referencia periodística de 2012.,Histórico; no usar como tarifa actual,high,high,historical_context_only,Referencia muy antigua.,pending
BASE-021,FAC-LEGACY-ELP-0006-6E3F1CFA89335BAF,Altos del Pinar,Canelones,El Pinar,Rambla Costanera M244 S2,True,historical_tariff,exact_amount,Habitación compartida,UYU,35000.0,35000.0,1.0,35000,35000,2012-05-15,2012,El País,https://www.elpais.com.uy/informacion/residencias-vip-nuevas-tendencias-para-3%C2%AA-edad,Habitación compartida: $35.000.,Referencia periodística de 2012.,Histórico; no usar como tarifa actual,high,high,historical_context_only,Referencia muy antigua.,pending
BASE-022,FAC-LEGACY-MSP24-044-83322A666C272E22,Red Bienestar,Montevideo,Montevideo,Av. Rivera 4589,True,historical_tariff,price_from,Mínimo; según habitación,UYU,38000.0,,1.0,38000,,2019-07-21,2019,El Observador,https://www.elobservador.com.uy/nota/residenciales-un-negocio-que-crece-con-tarifas-de-35-000-a-120-000-al-mes-201972132159,Tarifa mínima de $38.000.,Dependía de habitación compartida o individual.,Histórico; no usar como tarifa actual,high,high,historical_context_only,Referencia de 2019.,pending
BASE-023,FAC-LEGACY-ELP-0479-2A28F8D0ADC27059,LAR - Centro,Montevideo,Montevideo,Juan M. Espinosa 1480,True,historical_tariff,price_from,Desde,UYU,120000.0,,1.0,120000,,2019-07-21,2019,El Observador,https://www.elobservador.com.uy/nota/residenciales-un-negocio-que-crece-con-tarifas-de-35-000-a-120-000-al-mes-201972132159,Desde $120.000 podían encontrarse habitaciones.,Dependía de los servicios incluidos.,Histórico; no usar como tarifa actual,high,medium,historical_context_only,La nota menciona LAR en Buceo; conciliación prudente.,pending
BASE-024,FAC-LEGACY-MSP24-072-811E25FC964E9DA9,Los Alpes,Montevideo,Montevideo,Fernández Crespo 1776,True,historical_tariff,exact_amount,Habitación compartida,UYU,40000.0,40000.0,1.0,40000,40000,2019-07-21,2019,El Observador,https://www.elobservador.com.uy/nota/residenciales-un-negocio-que-crece-con-tarifas-de-35-000-a-120-000-al-mes-201972132159,Aproximadamente $40.000 por habitación compartida.,No detallado de forma completa.,Histórico; no usar como tarifa actual,high,high,historical_context_only,Referencia de 2019.,pending
BASE-025,FAC-LEGACY-ELP-0427-C438EEBBD66E1884,Hogar Amelia Ruano de Schiaffino,Montevideo,Montevideo,Pedro Trapani 1197,True,historical_tariff,exact_amount,Habitación compartida para residentes privados,UYU,35000.0,35000.0,1.0,35000,35000,2019-07-21,2019,El Observador,https://www.elobservador.com.uy/nota/residenciales-un-negocio-que-crece-con-tarifas-de-35-000-a-120-000-al-mes-201972132159,Los residentes privados pagaban $35.000.,La nota explica un esquema mixto con convenio BPS.,Histórico; no usar como tarifa actual,high,high,historical_context_only,Referencia de 2019.,pending
NEW-001,FAC-LEGACY-ELP-0448-898D6DD9A7C54857,Hotel Continental Senior,Montevideo,Montevideo,Paraguay 1372,True,historical_tariff,exact_amount,"Habitación individual, persona autoválida",UYU,58000.0,58000.0,1.0,58000,58000,2016-09-11,2016,El País,https://www.elpais.com.uy/negocios/finanzas/hoteles-para-jubilados-otra-opcion-al-manejar-el-retiro,La fuente primaria informó $58.000 mensuales para una habitación individual.,,historical_2016,high,high,historical_context_only,Fuente primaria; reemplaza como referencia preferida a la reproducción secundaria que indicaba $42.000.,pending
NEW-002,FAC-LEGACY-ELP-0448-898D6DD9A7C54857,Hotel Continental Senior,Montevideo,Montevideo,Paraguay 1372,True,historical_tariff,exact_amount,"Habitación compartida, persona autoválida",UYU,35000.0,35000.0,1.0,35000,35000,2016-09-11,2016,El País,https://www.elpais.com.uy/negocios/finanzas/hoteles-para-jubilados-otra-opcion-al-manejar-el-retiro,La fuente primaria informó aproximadamente $35.000 mensuales compartiendo habitación.,,historical_2016,high,high,historical_context_only,Fuente primaria; modalidad compartida.,pending
NEW-003,FAC-LEGACY-MSP24-111-D0D05002AAEC40A3,La Maison Senior Apartments,Montevideo,Montevideo,26 de Marzo 3322,True,historical_tariff,price_up_to,Según necesidades,USD,,5000.0,40.214,,201070,2016-09-11,2016,El País,https://www.elpais.com.uy/negocios/finanzas/hoteles-para-jubilados-otra-opcion-al-manejar-el-retiro,La fuente primaria indicó que el costo podía llegar hasta USD 5.000 mensuales según las necesidades.,,historical_2016,high,high,historical_context_only,Fuente primaria; no convertir automáticamente a pesos uruguayos.,pending
UNLINKED-001,,S H Residencial,Montevideo,Carrasco,Dirección exacta no publicada,False,commercial_tariff,price_from,Habitación privada con baño compartido,UYU,50000.0,,1.0,50000,,Sin fecha visible,,Red de Residenciales,https://www.redresidenciales.com.uy/residencial_hotel/carrasco/s-h-residencial/,La ficha publica una tarifa desde $50.000.,Habitación privada; alimentación; enfermería; fisioterapia; podología y actividades según la ficha.,currently_visible_undated,high,low,do_not_publish_until_reconciled,No se vinculó a una ficha concreta de Arandú.,pending
UNLINKED-002,,Residencial El Parque,Canelones,Las Toscas,Calle F y Calle 14,False,commercial_tariff,price_from,Habitaciones compartidas; estadías permanentes y temporales,UYU,30000.0,,1.0,30000,,Sin fecha visible,,Red de Residenciales,https://www.redresidenciales.com.uy/residencial_hotel/canelones/ciudad-de-la-cosa/residencial-el-parque/,La ficha publica una tarifa desde $30.000.,Estadías permanentes y temporales; espacios verdes y talleres según la ficha.,currently_visible_undated,high,low,do_not_publish_until_reconciled,"Podría ser un establecimiento faltante, un alias o una ficha aún no conciliada.",pending
UNLINKED-003,,Residencial en Carrasco,Montevideo,Carrasco,Dirección exacta no publicada,False,commercial_tariff,exact_amount,Habitación individual con baño privado,UYU_INFERRED,59000.0,59000.0,1.0,59000,59000,Sin fecha visible,,Red de Residenciales,https://www.redresidenciales.com.uy/residencial_hotel/carrasco/residencial-en-carrasco/,"La ficha muestra el número 59000, sin símbolo monetario.",Habitación individual con baño privado; alimentación; enfermería y actividades según la ficha.,currently_visible_undated,low,low,do_not_publish_until_reconciled,UYU se infiere por contexto. No hay nombre comercial ni dirección suficiente.,pending
UNLINKED-004,,Residencial E F,Montevideo,Carrasco,Dirección exacta no publicada,False,commercial_tariff,exact_amount,Habitación privada con baño compartido,UYU_INFERRED,48000.0,48000.0,1.0,48000,48000,Sin fecha visible,,Red de Residenciales,https://www.redresidenciales.com.uy/residencial-hotel/montevideo/residencial-e-f/,"La ficha muestra el número 48000, sin símbolo monetario.",Habitación privada; alimentación; fisioterapia; odontología; podología y actividades según la ficha.,currently_visible_undated,low,low,do_not_publish_until_reconciled,UYU se infiere por contexto. No se encontró una ficha inequívoca en Arandú.,pending
UNLINKED-005,,Iporá Boutique Care Network,Colonia / Montevideo / Maldonado,Varias,Varias ubicaciones anunciadas,False,commercial_tariff,price_from,Tier 1 — apoyo independiente,USD,4500.0,,40.214,180963,,Oferta visible en 2026,2026,Iporá Boutique Care Network,https://residencialipora.com/rivera,La red anuncia una tarifa desde USD 4.500 mensuales para apoyo independiente.,"Cuidado 24/7, pensión completa, nutricionista, médico semanal, trabajador social y actividades; excluye higiene personal y medicamentos recetados.",published_2026,high,low,do_not_publish_until_reconciled,No asignar al Residencial Iporá de Tacuarembó; la oferta corresponde a una red y otras ubicaciones.,pending
