table_name,column_name,data_type,nullable,default_value,purpose,allowed_values,source_of_truth,written_by,read_by,publicly_exposed,retention_rule,index_or_constraint,migration_origin
elepem_core.source_catalog,updated_at,timestamptz,no,now(),Last controlled update timestamp.,timezone-aware timestamp,reviewed source policy,authorized import administrator,imports and auditors,no,permanent while referenced,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.organizations,id,bigint,no,,Surrogate row identifier.,valid identity or referenced ID,reviewed observations,backfill or reviewer,internal workflows and auditors,no,current and historical,primary key; identity,20260803042525_normalized_elepem_core_model
elepem_core.organizations,organization_key,text,no,,Stable deduplication key for an operator.,CHECK/FK/length rules in migration,reviewed observations,backfill or reviewer,internal workflows and auditors,no,current and historical,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.organizations,legal_name,text,no,,Reviewed legal organization name.,CHECK/FK/length rules in migration,reviewed observations,backfill or reviewer,internal workflows and auditors,no,current and historical,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.organizations,organization_type,text,no,'unknown',Operator class without inferring unknown legal form.,company|association|foundation|public_body|person_sole_trader|unknown,reviewed observations,backfill or reviewer,internal workflows and auditors,no,current and historical,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.organizations,lifecycle_status,text,no,'current',Separates current and historical lifecycle states.,current|historical|inactive|unknown,reviewed observations,backfill or reviewer,internal workflows and auditors,no,current and historical,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.organizations,created_at,timestamptz,no,now(),Row creation timestamp.,timezone-aware timestamp,reviewed observations,backfill or reviewer,internal workflows and auditors,no,current and historical,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.organizations,updated_at,timestamptz,no,now(),Last controlled update timestamp.,timezone-aware timestamp,reviewed observations,backfill or reviewer,internal workflows and auditors,no,current and historical,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facilities,id,bigint,no,,Surrogate row identifier.,valid identity or referenced ID,reconciled observations and human review,backfill or reviewer,internal views and approved projection,no,permanent; merge instead of delete,primary key; identity,20260803042525_normalized_elepem_core_model
elepem_core.facilities,facility_key,text,no,,Stable public-safe ID for one physical site.,CHECK/FK/length rules in migration,reconciled observations and human review,backfill or reviewer,internal views and approved projection,no,permanent; merge instead of delete,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facilities,lifecycle_status,text,no,'current',Separates current and historical lifecycle states.,current|historical|closed|merged|unknown,reconciled observations and human review,backfill or reviewer,internal views and approved projection,no,permanent; merge instead of delete,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facilities,review_status,text,no,'unreviewed',Human verification state.,unreviewed|needs_review|verified|rejected,reconciled observations and human review,backfill or reviewer,internal views and approved projection,no,permanent; merge instead of delete,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facilities,publication_status,text,no,'private',Explicit eligibility and publication gate.,private|eligible|approved|withdrawn; approved requires A/B review,reconciled observations and human review,backfill or reviewer,internal views and approved projection,no,permanent; merge instead of delete,CHECK plus publication trigger,20260803042525_normalized_elepem_core_model
elepem_core.facilities,merged_into_facility_id,bigint,yes,,Surviving site for a reviewed duplicate.,valid identity or referenced ID,reconciled observations and human review,backfill or reviewer,internal views and approved projection,no,permanent; merge instead of delete,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facilities,created_at,timestamptz,no,now(),Row creation timestamp.,timezone-aware timestamp,reconciled observations and human review,backfill or reviewer,internal views and approved projection,no,permanent; merge instead of delete,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facilities,updated_at,timestamptz,no,now(),Last controlled update timestamp.,timezone-aware timestamp,reconciled observations and human review,backfill or reviewer,internal views and approved projection,no,permanent; merge instead of delete,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_operators,id,bigint,no,,Surrogate row identifier.,valid identity or referenced ID,linked observation and review,backfill or reviewer,internal detail and audit,no,current and historical,primary key; identity,20260803042525_normalized_elepem_core_model
elepem_core.facility_operators,facility_id,bigint,no,,Canonical physical-site reference.,valid identity or referenced ID,linked observation and review,backfill or reviewer,internal detail and audit,no,current and historical,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_operators,organization_id,bigint,no,,Organization reference.,valid identity or referenced ID,linked observation and review,backfill or reviewer,internal detail and audit,no,current and historical,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_operators,relationship_type,text,no,,Operator relationship to the site.,operator|owner|manager|license_holder|other,linked observation and review,backfill or reviewer,internal detail and audit,no,current and historical,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_operators,valid_from,date,yes,,Optional start date for the value.,ISO date; paired date checks,linked observation and review,backfill or reviewer,internal detail and audit,no,current and historical,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_operators,valid_to,date,yes,,Optional end date; null means current unless separately flagged.,ISO date; paired date checks,linked observation and review,backfill or reviewer,internal detail and audit,no,current and historical,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_operators,observation_id,bigint,yes,,Immutable source-observation reference.,valid identity or referenced ID,linked observation and review,backfill or reviewer,internal detail and audit,no,current and historical,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_operators,created_at,timestamptz,no,now(),Row creation timestamp.,timezone-aware timestamp,linked observation and review,backfill or reviewer,internal detail and audit,no,current and historical,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_names,id,bigint,no,,Surrogate row identifier.,valid identity or referenced ID,linked observation and review,import or reviewer,matching and projections,no,current aliases and history,primary key; identity,20260803042525_normalized_elepem_core_model
elepem_core.facility_names,facility_id,bigint,no,,Canonical physical-site reference.,valid identity or referenced ID,linked observation and review,import or reviewer,matching and projections,no,current aliases and history,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_names,name,text,no,,Observed or selected facility name.,CHECK/FK/length rules in migration,linked observation and review,import or reviewer,matching and projections,no,current aliases and history,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_names,normalized_name,text,no,,Comparison value that never replaces observed text.,CHECK/FK/length rules in migration,linked observation and review,import or reviewer,matching and projections,no,current aliases and history,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_names,name_type,text,no,,"Canonical, observed, alias, historical, or legal role.",canonical|observed|alias|historical|legal,linked observation and review,import or reviewer,matching and projections,no,current aliases and history,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_names,valid_from,date,yes,,Optional start date for the value.,ISO date; paired date checks,linked observation and review,import or reviewer,matching and projections,no,current aliases and history,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_names,valid_to,date,yes,,Optional end date; null means current unless separately flagged.,ISO date; paired date checks,linked observation and review,import or reviewer,matching and projections,no,current aliases and history,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_names,is_preferred,boolean,no,false,Selects the single current display name.,true|false,linked observation and review,import or reviewer,matching and projections,no,current aliases and history,partial UNIQUE per facility,20260803042525_normalized_elepem_core_model
elepem_core.facility_names,observation_id,bigint,yes,,Immutable source-observation reference.,valid identity or referenced ID,linked observation and review,import or reviewer,matching and projections,no,current aliases and history,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_names,created_at,timestamptz,no,now(),Row creation timestamp.,timezone-aware timestamp,linked observation and review,import or reviewer,matching and projections,no,current aliases and history,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_addresses,id,bigint,no,,Surrogate row identifier.,valid identity or referenced ID,linked observation and review,import or reviewer,matching geocoding and projections,no,current and historical,primary key; identity,20260803042525_normalized_elepem_core_model
elepem_core.facility_addresses,facility_id,bigint,no,,Canonical physical-site reference.,valid identity or referenced ID,linked observation and review,import or reviewer,matching geocoding and projections,no,current and historical,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_addresses,address_line,text,no,,One street-address value.,CHECK/FK/length rules in migration,linked observation and review,import or reviewer,matching geocoding and projections,no,current and historical,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_addresses,normalized_address,text,no,,Address comparison value.,CHECK/FK/length rules in migration,linked observation and review,import or reviewer,matching geocoding and projections,no,current and historical,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_addresses,locality,text,no,,Source-backed locality.,CHECK/FK/length rules in migration,linked observation and review,import or reviewer,matching geocoding and projections,no,current and historical,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_addresses,department,text,no,,Source-backed Uruguayan department.,CHECK/FK/length rules in migration,linked observation and review,import or reviewer,matching geocoding and projections,no,current and historical,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_addresses,postal_code,text,yes,,Postal code separate from address.,CHECK/FK/length rules in migration,linked observation and review,import or reviewer,matching geocoding and projections,no,current and historical,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_addresses,address_type,text,no,'physical',"Physical, postal, or historical address role.",physical|postal|historical,linked observation and review,import or reviewer,matching geocoding and projections,no,current and historical,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_addresses,valid_from,date,yes,,Optional start date for the value.,ISO date; paired date checks,linked observation and review,import or reviewer,matching geocoding and projections,no,current and historical,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_addresses,valid_to,date,yes,,Optional end date; null means current unless separately flagged.,ISO date; paired date checks,linked observation and review,import or reviewer,matching geocoding and projections,no,current and historical,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_addresses,is_current,boolean,no,true,Reviewed current-value marker.,true|false,linked observation and review,import or reviewer,matching geocoding and projections,no,current and historical,CHECK plus partial current index where singular,20260803042525_normalized_elepem_core_model
elepem_core.facility_addresses,observation_id,bigint,yes,,Immutable source-observation reference.,valid identity or referenced ID,linked observation and review,import or reviewer,matching geocoding and projections,no,current and historical,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_addresses,created_at,timestamptz,no,now(),Row creation timestamp.,timezone-aware timestamp,linked observation and review,import or reviewer,matching geocoding and projections,no,current and historical,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_contacts,id,bigint,no,,Surrogate row identifier.,valid identity or referenced ID,linked observation and review,import or reviewer,private matching/review,no,history; one value per row,primary key; identity,20260803042525_normalized_elepem_core_model
elepem_core.facility_contacts,facility_id,bigint,no,,Canonical physical-site reference.,valid identity or referenced ID,linked observation and review,import or reviewer,private matching/review,no,history; one value per row,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_contacts,contact_type,text,no,,"Phone, email, or website category.",phone|email|website,linked observation and review,import or reviewer,private matching/review,no,history; one value per row,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_contacts,contact_value,text,no,,One observed contact; concatenation forbidden.,CHECK/FK/length rules in migration,linked observation and review,import or reviewer,private matching/review,no,history; one value per row,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_contacts,normalized_value,text,no,,Contact comparison value.,CHECK/FK/length rules in migration,linked observation and review,import or reviewer,private matching/review,no,history; one value per row,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_contacts,valid_from,date,yes,,Optional start date for the value.,ISO date; paired date checks,linked observation and review,import or reviewer,private matching/review,no,history; one value per row,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_contacts,valid_to,date,yes,,Optional end date; null means current unless separately flagged.,ISO date; paired date checks,linked observation and review,import or reviewer,private matching/review,no,history; one value per row,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_contacts,is_current,boolean,no,true,Reviewed current-value marker.,true|false,linked observation and review,import or reviewer,private matching/review,no,history; one value per row,CHECK plus partial current index where singular,20260803042525_normalized_elepem_core_model
elepem_core.facility_contacts,observation_id,bigint,yes,,Immutable source-observation reference.,valid identity or referenced ID,linked observation and review,import or reviewer,private matching/review,no,history; one value per row,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_contacts,created_at,timestamptz,no,now(),Row creation timestamp.,timezone-aware timestamp,linked observation and review,import or reviewer,private matching/review,no,history; one value per row,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_social_accounts,id,bigint,no,,Surrogate row identifier.,valid identity or referenced ID,public URL and human check,human reviewer,private research/audit,no,URL date note only,primary key; identity,20260803042525_normalized_elepem_core_model
elepem_core.facility_social_accounts,facility_id,bigint,no,,Canonical physical-site reference.,valid identity or referenced ID,public URL and human check,human reviewer,private research/audit,no,URL date note only,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_social_accounts,platform,text,no,,Social platform name.,instagram|facebook|other,public URL and human check,human reviewer,private research/audit,no,URL date note only,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_social_accounts,public_url,text,no,,Public account URL only; no platform content.,http(s) URL within CHECK length,public URL and human check,human reviewer,private research/audit,no,URL date note only,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_social_accounts,checked_at,timestamptz,no,,Controlled verification timestamp.,timezone-aware timestamp,public URL and human check,human reviewer,private research/audit,no,URL date note only,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_social_accounts,human_note,text,no,,Brief factual human note.,CHECK/FK/length rules in migration,public URL and human check,human reviewer,private research/audit,no,URL date note only,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_social_accounts,valid_to,date,yes,,Optional end date; null means current unless separately flagged.,ISO date; paired date checks,public URL and human check,human reviewer,private research/audit,no,URL date note only,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_social_accounts,observation_id,bigint,yes,,Immutable source-observation reference.,valid identity or referenced ID,public URL and human check,human reviewer,private research/audit,no,URL date note only,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_social_accounts,created_at,timestamptz,no,now(),Row creation timestamp.,timezone-aware timestamp,public URL and human check,human reviewer,private research/audit,no,URL date note only,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_observation_links,facility_id,bigint,no,,Canonical physical-site reference.,valid identity or referenced ID,immutable source observation,backfill or reviewer,evidence/exclusion/audit,no,permanent provenance,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_observation_links,observation_id,bigint,no,,Immutable source-observation reference.,valid identity or referenced ID,immutable source observation,backfill or reviewer,evidence/exclusion/audit,no,permanent provenance,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_observation_links,evidence_role,text,no,'context',How the observation supports or conflicts.,evidence_a|evidence_b|context|conflict|historical,immutable source observation,backfill or reviewer,evidence/exclusion/audit,no,permanent provenance,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_observation_links,independence_key,text,yes,,Independent tier-B source identifier.,CHECK/FK/length rules in migration,immutable source observation,backfill or reviewer,evidence/exclusion/audit,no,permanent provenance,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_observation_links,linked_by,text,no,,Reviewer or controlled linking job.,CHECK/FK/length rules in migration,immutable source observation,backfill or reviewer,evidence/exclusion/audit,no,permanent provenance,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_observation_links,linked_at,timestamptz,no,now(),Provenance-link timestamp.,timezone-aware timestamp,immutable source observation,backfill or reviewer,evidence/exclusion/audit,no,permanent provenance,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_administrative_events,id,bigint,no,,Surrogate row identifier.,valid identity or referenced ID,official observation,official import or reviewer,internal/public projections,no,all historical events,primary key; identity,20260803042525_normalized_elepem_core_model
elepem_core.facility_administrative_events,facility_id,bigint,no,,Canonical physical-site reference.,valid identity or referenced ID,official observation,official import or reviewer,internal/public projections,no,all historical events,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_administrative_events,authority,text,no,,Administrative authority.,MSP|MIDES|PACP|OTHER,official observation,official import or reviewer,internal/public projections,no,all historical events,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_administrative_events,administrative_stage,text,no,,Separate administrative stage.,authorization_final|historical_registration|social_certificate|provider_registry|other,official observation,official import or reviewer,internal/public projections,no,all historical events,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_administrative_events,status_label,text,no,,Source-faithful short status.,CHECK/FK/length rules in migration,official observation,official import or reviewer,internal/public projections,no,all historical events,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_administrative_events,reference_code,text,yes,,Optional public administrative reference.,CHECK/FK/length rules in migration,official observation,official import or reviewer,internal/public projections,no,all historical events,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_administrative_events,effective_date,date,yes,,Effective date of the observed value.,ISO date; paired date checks,official observation,official import or reviewer,internal/public projections,no,all historical events,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_administrative_events,end_date,date,yes,,Historical end date.,ISO date; paired date checks,official observation,official import or reviewer,internal/public projections,no,all historical events,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_administrative_events,is_current,boolean,no,true,Reviewed current-value marker.,true|false,official observation,official import or reviewer,internal/public projections,no,all historical events,CHECK plus partial current index where singular,20260803042525_normalized_elepem_core_model
elepem_core.facility_administrative_events,observation_id,bigint,no,,Immutable source-observation reference.,valid identity or referenced ID,official observation,official import or reviewer,internal/public projections,no,all historical events,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_administrative_events,recorded_at,timestamptz,no,now(),Normalization timestamp.,timezone-aware timestamp,official observation,official import or reviewer,internal/public projections,no,all historical events,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_capacity_observations,id,bigint,no,,Surrogate row identifier.,valid identity or referenced ID,dated observation,import or reviewer,internal/public projections,no,historical observations,primary key; identity,20260803042525_normalized_elepem_core_model
elepem_core.facility_capacity_observations,facility_id,bigint,no,,Canonical physical-site reference.,valid identity or referenced ID,dated observation,import or reviewer,internal/public projections,no,historical observations,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_capacity_observations,places,integer,no,,Capacity from one dated observation.,integer >= 0,dated observation,import or reviewer,internal/public projections,no,historical observations,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_capacity_observations,effective_date,date,yes,,Effective date of the observed value.,ISO date; paired date checks,dated observation,import or reviewer,internal/public projections,no,historical observations,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_capacity_observations,end_date,date,yes,,Historical end date.,ISO date; paired date checks,dated observation,import or reviewer,internal/public projections,no,historical observations,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_capacity_observations,is_current,boolean,no,true,Reviewed current-value marker.,true|false,dated observation,import or reviewer,internal/public projections,no,historical observations,CHECK plus partial current index where singular,20260803042525_normalized_elepem_core_model
elepem_core.facility_capacity_observations,observation_id,bigint,no,,Immutable source-observation reference.,valid identity or referenced ID,dated observation,import or reviewer,internal/public projections,no,historical observations,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_capacity_observations,recorded_at,timestamptz,no,now(),Normalization timestamp.,timezone-aware timestamp,dated observation,import or reviewer,internal/public projections,no,historical observations,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_geocodes,id,bigint,no,,Surrogate row identifier.,valid identity or referenced ID,IDE Uruguay manual or legacy,geocoder or reviewer,internal/public projections,no,history and bounded IDE response,primary key; identity,20260803042525_normalized_elepem_core_model
elepem_core.facility_geocodes,facility_id,bigint,no,,Canonical physical-site reference.,valid identity or referenced ID,IDE Uruguay manual or legacy,geocoder or reviewer,internal/public projections,no,history and bounded IDE response,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_geocodes,address_id,bigint,no,,Exact geocoded address reference.,valid identity or referenced ID,IDE Uruguay manual or legacy,geocoder or reviewer,internal/public projections,no,history and bounded IDE response,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_geocodes,provider,text,no,,"IDE Uruguay, manual, or legacy coordinate source.",ide_uy|manual|legacy; Google coordinates prohibited,IDE Uruguay manual or legacy,geocoder or reviewer,internal/public projections,no,history and bounded IDE response,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_geocodes,query_original,text,yes,,Original independently sourced geocoding query.,CHECK/FK/length rules in migration,IDE Uruguay manual or legacy,geocoder or reviewer,internal/public projections,no,history and bounded IDE response,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_geocodes,query_normalized,text,yes,,Normalized controlled geocoding query.,CHECK/FK/length rules in migration,IDE Uruguay manual or legacy,geocoder or reviewer,internal/public projections,no,history and bounded IDE response,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_geocodes,lat,double precision,no,,Selected latitude.,-90..90,IDE Uruguay manual or legacy,geocoder or reviewer,internal/public projections,no,history and bounded IDE response,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_geocodes,lng,double precision,no,,Selected longitude.,-180..180,IDE Uruguay manual or legacy,geocoder or reviewer,internal/public projections,no,history and bounded IDE response,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_geocodes,precision,text,no,,"Door, street, or referential accuracy.",puerta|calle|referencial,IDE Uruguay manual or legacy,geocoder or reviewer,internal/public projections,no,history and bounded IDE response,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_geocodes,precision_label,text,no,,Human-readable accuracy note.,CHECK/FK/length rules in migration,IDE Uruguay manual or legacy,geocoder or reviewer,internal/public projections,no,history and bounded IDE response,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_geocodes,provider_response,jsonb,yes,,Bounded raw IDE response; never Google payload.,JSON object within CHECK/size limits,IDE Uruguay manual or legacy,geocoder or reviewer,internal/public projections,no,history and bounded IDE response,JSON type/size CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_geocodes,manually_corrected,boolean,no,false,Human correction marker.,true|false,IDE Uruguay manual or legacy,geocoder or reviewer,internal/public projections,no,history and bounded IDE response,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_geocodes,reviewed_by,text,yes,,Reviewer identity.,CHECK/FK/length rules in migration,IDE Uruguay manual or legacy,geocoder or reviewer,internal/public projections,no,history and bounded IDE response,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_geocodes,checked_at,timestamptz,no,,Controlled verification timestamp.,timezone-aware timestamp,IDE Uruguay manual or legacy,geocoder or reviewer,internal/public projections,no,history and bounded IDE response,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_geocodes,is_current,boolean,no,true,Reviewed current-value marker.,true|false,IDE Uruguay manual or legacy,geocoder or reviewer,internal/public projections,no,history and bounded IDE response,CHECK plus partial current index where singular,20260803042525_normalized_elepem_core_model
elepem_core.facility_geocodes,observation_id,bigint,yes,,Immutable source-observation reference.,valid identity or referenced ID,IDE Uruguay manual or legacy,geocoder or reviewer,internal/public projections,no,history and bounded IDE response,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_geocodes,created_at,timestamptz,no,now(),Row creation timestamp.,timezone-aware timestamp,IDE Uruguay manual or legacy,geocoder or reviewer,internal/public projections,no,history and bounded IDE response,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.facility_reviews,id,bigint,no,,Surrogate row identifier.,valid identity or referenced ID,human decision,authorized reviewer,publication guard/auditor,no,append-only permanent,primary key; identity,20260803042525_normalized_elepem_core_model
elepem_core.facility_reviews,facility_id,bigint,no,,Canonical physical-site reference.,valid identity or referenced ID,human decision,authorized reviewer,publication guard/auditor,no,append-only permanent,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.facility_reviews,review_type,text,no,,Human review category.,identity|evidence|publication|correction|closure,human decision,authorized reviewer,publication guard/auditor,no,append-only permanent,CHECK; review rows append-only,20260803042525_normalized_elepem_core_model
elepem_core.facility_reviews,outcome,text,no,,Immutable review result.,verified|needs_more_evidence|rejected|approve_publication|withdraw_publication,human decision,authorized reviewer,publication guard/auditor,no,append-only permanent,CHECK; review rows append-only,20260803042525_normalized_elepem_core_model
elepem_core.facility_reviews,evidence_tier,text,no,,Evidence level at review time.,A|B|C; publication approval only A/B,human decision,authorized reviewer,publication guard/auditor,no,append-only permanent,CHECK; review rows append-only,20260803042525_normalized_elepem_core_model
elepem_core.facility_reviews,reviewer_identifier,text,no,,Authenticated reviewer identifier.,CHECK/FK/length rules in migration,human decision,authorized reviewer,publication guard/auditor,no,append-only permanent,length/value CHECK,20260803042525_normalized_elepem_core_model
